id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,endDate,status,active,weight,secondNationality,secondNationalityId,knownName
dsfbfzwy3c06mu50ee89qrbsa,Marinus Frederik,Løvgren Larsen,Marinus,Larsen,Male,M. Larsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-12-30,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,169.0,right,39.0,2022-07-01Z,2023-08-07Z,active,no,63.0,NaN,NaN,NaN
e1w55mbpxdz0y0n9qox07d2qc,Mateusz,Kowalczyk,Mateusz,Kowalczyk,Male,M. Kowalczyk,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-04-16,Warszawa,Poland,27baqb7359ywdvsxxklx1kn11,181.0,both,20.0,2023-08-02Z,2024-07-17Z,active,no,NaN,NaN,NaN,NaN
etz3rjq7chhaomst5u28nnff9,Daniel,Wass,Daniel,Wass,Male,D. Wass,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1989-05-31,Gladsaxe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,right,10.0,2022-08-12Z,NaN,active,yes,74.0,NaN,NaN,NaN
hsobzlp177f9755mpsi7szmy,Sebastian,Søraas Sebulonsen,Sebastian,Sebulonsen,Male,S. Sebulonsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2000-01-27,Stavanger,Norway,7f16iy4w8u8ogyn6pfooqwv5z,187.0,right,2.0,2022-07-14Z,2025-07-18Z,active,no,78.0,NaN,NaN,NaN
x3ad9hfxts6jpfugy3kvq9d5,Carl Sebastian,Björk,Carl,Björk,Male,C. Björk,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2000-01-19,Umeå,Sweden,1z6l2c33w2kyz9rdefs1d68nb,188.0,right,12.0,2022-01-30Z,2023-08-17Z,active,no,74.0,NaN,NaN,NaN
12cgiy0t282ywdbr5j78hrxsl,Scott Fraser,McKenna,Scott,McKenna,Male,S. McKenna,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Defender,player,1996-11-12,Kirriemuir,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,189.0,left,26.0,2024-01-30Z,2024-06-30Z,active,no,74.0,NaN,NaN,NaN
2i92r2eksw9ty9kis974k3uqy,Valdemar,Lund Jensen,Valdemar,Lund,Male,V. Lund,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2003-05-28,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,193.0,left,27.0,2021-07-01Z,2024-02-01Z,active,no,78.0,NaN,NaN,NaN
2ubad2kxha6n1c8c8sr2ogmad,Birger,Solberg Meling,Birger,Meling,Male,B. Meling,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1994-12-17,Stavanger,Norway,7f16iy4w8u8ogyn6pfooqwv5z,173.0,left,24.0,2023-08-14Z,NaN,active,yes,64.0,NaN,NaN,NaN
31j3z9eqoxl2qlgncgdiz1zpw,Elias,Jelert Kristensen,Elias,Jelert,Male,E. Jelert,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2003-06-12,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,170.0,right,19.0,2021-10-16Z,2024-07-25Z,active,no,62.0,NaN,NaN,NaN
3vbye911qnallue5h74nljfh0,Oscar,Gadeberg Buur,Oscar,Buur,Male,O. Buur,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2006-10-29,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,right,61.0,2024-02-12Z,NaN,active,yes,71.0,NaN,NaN,NaN
66psa7xh8odnlp39ue5vzpes4,Roony,Bardghji,Roony,Bardghji,Male,R. Bardghji,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2005-11-15,Kuwait City,Kuwait,70rn9hy1i32yu04uos65wvgs5,173.0,left,40.0,2021-11-20Z,2025-07-14Z,active,no,73.0,Syria,3tsnzfkszhsktmhsmwar1tvp8,NaN
6ga6xydqksel3jh3fs845yod1,Nicolai,Møller Boilesen,Nicolai,Boilesen,Male,N. Boilesen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1992-02-16,Ballerup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,left,20.0,2016-08-25Z,2025-06-30Z,active,no,79.0,NaN,NaN,NaN
6tckvu2rw7ns18dq7dim0sout,Mohamed Amine,Elyounoussi,Mohamed,Elyounoussi,Male,M. Elyounoussi,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1994-08-04,Al Hoceima,Morocco,2xdcc39z1k79pnjbtn9x31wdh,178.0,right,10.0,2023-07-27Z,NaN,active,yes,70.0,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
7cpkykvmy8ujrahzdz7ksk2c5,Peter,Svarrer Ankersen,Peter,Ankersen,Male,P. Ankersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-09-22,Esbjerg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,right,22.0,2020-09-26Z,2024-06-15Z,active,no,73.0,NaN,NaN,NaN
7hw1plnv7nvxnqpnfnxcxszpx,Andreas Evald,Cornelius,Andreas,Cornelius,Male,A. Cornelius,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1993-03-16,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,193.0,left,14.0,2022-08-31Z,NaN,active,yes,91.0,NaN,NaN,NaN
7xc0qldxpidl07vij2wgu1sk5,Kevin,Diks Bakarbessy,Kevin,Diks,Male,K. Diks,Indonesia,1zi2c00k6skx48tn692uem0n6,Defender,player,1996-10-06,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,right,2.0,2021-07-05Z,2025-05-31Z,active,no,73.0,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
8g4r9maz4invihjmdzpfxy0np,Viktor Johan Anton,Claesson,Viktor,Claesson,Male,V. Claesson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1992-01-02,Värnamo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,right,7.0,2022-03-30Z,NaN,active,yes,77.0,NaN,NaN,NaN
8inyievyp1az6q3dtlkpynf56,Magnus,Elkjær Mattsson,Magnus,Mattsson,Male,M. Mattsson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-02-25,Marstal,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,both,8.0,2024-02-01Z,NaN,active,yes,63.0,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN
8jyfsal0lbf0ia92axymn2l1w,Oliver,Højer,Oliver,Højer,Male,O. Højer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-01-24,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,right,38.0,2024-05-04Z,NaN,active,yes,59.0,NaN,NaN,NaN
8mcb1hiuk9rzf48cx3vj5i3th,Christian Nikolaj,Sørensen,Christian,Sørensen,Male,C. Sørensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1992-08-06,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,left,6.0,2022-09-01Z,2024-08-08Z,active,no,72.0,NaN,NaN,NaN
9cbp20wyy4ldod06myqbmkqok,Oscar,Winther Højlund,Oscar,Højlund,Male,O. Højlund,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-01-04,Kopenhagen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,right,39.0,2023-05-21Z,2024-07-10Z,active,no,76.0,NaN,NaN,NaN
9qp4xdwqq8odu20tto0zztz4k,Mateo,Tanlongo,Mateo,Tanlongo,Male,M. Tanlongo,Argentina,2vovxa97k7v7ofa85dah2xktb,Midfielder,player,2003-08-12,Funes,Argentina,2vovxa97k7v7ofa85dah2xktb,177.0,right,8.0,2023-09-01Z,2024-01-10Z,active,no,73.0,NaN,NaN,NaN
a79ojcztkvgui9sw4zbkmvr3d,Kamil Mieczysław,Grabara,Kamil,Grabara,Male,K. Grabara,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1999-01-08,Ruda Śląska,Poland,27baqb7359ywdvsxxklx1kn11,195.0,right,1.0,2021-07-03Z,2024-07-01Z,active,no,80.0,NaN,NaN,NaN
aahyom322jdc6f21960ycuzth,Carl Henrik Jordan,Larsson,Jordan,Larsson,Male,J. Larsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1997-06-20,Rotterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,left,11.0,2023-06-15Z,NaN,active,yes,69.0,Cabo Verde,7235kgq23bu1v4qwk491u58h0,NaN
al9l7egkwbc0pv68zk42gegut,Lukas,Reiff Lerager,Lukas,Lerager,Male,L. Lerager,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1993-07-12,Gladsaxe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,12.0,2021-07-01Z,NaN,active,yes,80.0,NaN,NaN,NaN
anrhk804wuqi9znwebf6sx72s,Noah Donovan,Sahsah,Noah,Sahsah,Male,N. Sahsah,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-07-08,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,173.0,NaN,46.0,2022-03-09Z,2024-08-06Z,active,no,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
b66zd4linqmjxdixvw5cjkjfu,Akinkunmi Ayobami,Amoo,Akinkunmi,Amoo,Male,A. Amoo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2002-06-07,Ibadan,Nigeria,63pvdwrsiq5b07mzi8igqei9p,170.0,left,23.0,2022-01-31Z,2023-09-13Z,active,no,70.0,NaN,NaN,NaN
bajc17vb646hznm9ea3wldcd1,Davit,Khocholava,Davit,Khocholava,Male,D. Khocholava,Georgia,55mqz7j6585f2jhgfhn62lomr,Defender,player,1993-02-08,Tbilisi,Georgia,55mqz7j6585f2jhgfhn62lomr,192.0,right,5.0,2021-07-06Z,2024-07-07Z,active,no,88.0,NaN,NaN,NaN
bfy36wqp37utkkbl13k7s99m1,Luther Wesley,Singh,Luther,Singh,Male,L. Singh,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Attacker,player,1997-08-05,Johannesburg,South Africa,1kiwby3xmt97m3ejw76qs4i6k,171.0,right,NaN,2023-07-01Z,2023-09-04Z,active,no,60.0,India,pu2isxryiewd7pvejah6oqex,NaN
bl9em2c9quspd4afzwqn81xxw,Theo,Nicolini Sander,Theo,Sander,Male,T. Sander,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2005-01-08,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,192.0,both,21.0,2023-07-20Z,2025-02-03Z,active,no,82.0,France,7gww28djs405rfga69smki84o,NaN
c6b0b4fr003vrj6r8r1dq4bqi,Mamoudou,Karamoko,Mamoudou,Karamoko,Male,M. Karamoko,France,7gww28djs405rfga69smki84o,Attacker,player,1999-09-08,Paris,France,7gww28djs405rfga69smki84o,188.0,right,29.0,2022-01-31Z,2023-07-31Z,active,no,88.0,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN
c9u2w9ikckbrra8vln2ucbf9w,Victor,Mow Froholdt,Victor,Froholdt,Male,V. Froholdt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-02-25,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,right,47.0,2023-09-26Z,2025-07-23Z,active,no,73.0,NaN,NaN,NaN
cdyq2cl21zmti7yxyednecp91,Jacob,Neestrup Hansen,Jacob,Neestrup,Male,J. Neestrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1988-03-08,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,NaN,NaN,2022-09-20Z,NaN,active,yes,79.0,NaN,NaN,NaN
cj9b2j1fr2pmaf2u5iof5fh90,Jannick,Breuning,Jannick,Breuning,Male,J. Breuning,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,NaN,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,2020-11-16Z,NaN,active,yes,NaN,NaN,NaN,NaN
cmipf5e6hplho1w6c4x0kwnv9,Khouma,El Hadji Babacar,Khouma,Babacar,Male,K. Babacar,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,1993-03-17,Thiès,Senegal,6hhqyhr5cwq2pfprlazyposyk,185.0,right,15.0,2022-01-21Z,2024-08-09Z,active,no,85.0,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
dqybftxqx6q0q5sqk20icmgru,Paul Omo,Mukairu,Paul,Mukairu,Male,P. Mukairu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2000-01-18,Abuja,Nigeria,63pvdwrsiq5b07mzi8igqei9p,183.0,right,17.0,2022-01-27Z,2023-08-16Z,active,no,78.0,NaN,NaN,NaN
e81dfbtza1g8v3lozf39x3f85,Diogo António,Cupido Gonçalves,Diogo António,Cupido Gonçalves,Male,Diogo Gonçalves,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1997-02-06,Almodôvar,Portugal,1nbm5i9a0403zzvltn17lxinc,178.0,right,9.0,2023-01-01Z,2024-08-09Z,active,no,70.0,NaN,NaN,Diogo Gonçalves
5mmgppapbchmcj9zdtyw0w5xw,Julius,Voldby Rosenberg Hansen,Julius,Voldby,Male,J. Voldby,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-06-09,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,33.0,2023-07-01Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN
ej8pxizgwjx9qjacvc136yusq,Ísak Bergmann,Jóhannesson,Ísak Bergmann,Jóhannesson,Male,Í. Jóhannesson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2003-03-23,Sutton Coldfield,England,1fk5l4hkqk12i7zske6mcqju6,180.0,left,8.0,2021-08-31Z,2023-08-09Z,active,no,72.0,England,1fk5l4hkqk12i7zske6mcqju6,NaN
ekbi29eljngvxgx9scbzwygwk,Andreas Frederik,Dithmer,Andreas,Dithmer,Male,A. Dithmer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2005-08-01,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,198.0,right,41.0,2021-11-03Z,2024-02-01Z,active,no,82.0,NaN,NaN,NaN
em0yawcqyqwf53hbj0zlz4duc,Aksel Emil,Halsgaard,Aksel,Halsgaard,Male,A. Halsgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-04-30,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,38.0,2023-05-01Z,2024-06-30Z,active,no,79.0,NaN,NaN,NaN
euur9yvhgrieu4kl0vdkh244q,Orri Steinn,Óskarsson,Orri,Óskarsson,Male,O. Óskarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2004-08-29,Reykjavik,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,186.0,right,18.0,2023-07-01Z,2024-08-30Z,active,no,76.0,NaN,NaN,NaN
ftw3io63hk5vuoa3lyfgowes,William,Clem,William,Clem,Male,W. Clem,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-06-20,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,right,36.0,2021-12-01Z,NaN,active,yes,70.0,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN
quh8tfvwi106toymoh38tbrp,Rúnar Alex,Rúnarsson,Rúnar,Rúnarsson,Male,R. Rúnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,1995-02-18,Reykjavík,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,186.0,right,31.0,2024-02-01Z,NaN,active,yes,78.0,NaN,NaN,NaN
rq6npjy37kolscu8lrj4r2dx,Rasmus,Falk Jensen,Rasmus,Falk,Male,R. Falk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1992-01-15,Middelfart,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,right,33.0,2016-07-01Z,2025-06-30Z,active,no,69.0,NaN,NaN,NaN
ssluj1c3ft94nkfs58dc8cq2,Mohamed Elias,Achouri,Elias,Achouri,Male,E. Achouri,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Midfielder,player,1999-02-10,NaN,France,7gww28djs405rfga69smki84o,177.0,right,30.0,2023-07-24Z,NaN,active,yes,68.0,France,7gww28djs405rfga69smki84o,NaN
u00hmc53sisukhmvf5ug0lqs,Emil,Winther Højlund,Emil,Højlund,Male,E. Højlund,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-01-04,Hörsholm,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,right,44.0,2021-12-01Z,2024-07-16Z,active,no,87.0,NaN,NaN,NaN
vrzye4jqrafujmjw3wakjpxw,Thomas,Jørgensen,Thomas,Jørgensen,Male,T. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-09-30,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,right,42.0,2023-05-20Z,2024-01-30Z,active,no,70.0,NaN,NaN,NaN
w0wt7gjkdddn63a4258j8frp,Denis,Vavro,Denis,Vavro,Male,D. Vavro,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1996-04-10,Partizánske,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,right,3.0,2022-07-06Z,2024-08-30Z,active,no,81.0,NaN,NaN,NaN
1sdsqfn743j5tqem8ra7sppn8,Franculino,Gluda Djú,Franculino,Gluda Djú,Male,Franculino Djú,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Attacker,player,2004-06-28,Bissau,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,182.0,left,17.0,2023-07-01Z,NaN,active,yes,78.0,Portugal,1nbm5i9a0403zzvltn17lxinc,Franculino Djú
23sc7wc7my7wes6cuaxw1v0no,Jonatan,Holm Lindekilde,Jonatan,Lindekilde,Male,J. Lindekilde,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-03-31,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,right,34.0,2023-07-01Z,2024-06-27Z,active,no,NaN,NaN,NaN,NaN
2fxxbmws5ph9jxstus83h6jo4,Nicholas Morten,Svane Beetson,Nicholas,Beetson,Male,N. Beetson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2005-06-01,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,16.0,2021-07-01Z,2024-07-01Z,active,no,NaN,NaN,NaN,NaN
2lg9jislfw2xz3buquqlb4lqs,Alamara,Viriato Djabi,Alamara,Djabi,Male,Alamara Djabi,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Midfielder,player,2006-09-28,NaN,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,172.0,right,NaN,2023-09-05Z,2023-12-31Z,active,no,62.0,Portugal,1nbm5i9a0403zzvltn17lxinc,Alamara Djabi
2lu0lc9ixc8q55melh1boaa6s,Akwasi,Dwomfour Owusu,Akwasi,Owusu,Male,A. Owusu,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-01-15,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,2023-09-05Z,2023-12-31Z,active,no,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
2mawaijd9czgtd5jh9myk434l,André,Ibsen Rømer,André,Rømer,Male,A. Rømer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1993-07-18,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,right,2.0,2023-07-30Z,2024-08-22Z,active,no,78.0,NaN,NaN,NaN
3bepi58wwope38a478y7jwlxw,August,Priske Flyger,August,Priske,Male,A. Priske,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-03-23,Genk,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,right,21.0,2023-07-01Z,2023-08-22Z,active,no,79.0,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN
3w0gibs44axjxmmu96552oaqy,Marrony,da Silva Liberato Silveira,Marrony,da Silva Liberato Silveira,Male,Marrony,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1999-02-05,Volta Redonda,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,181.0,right,38.0,2023-07-01Z,2025-06-10Z,active,no,75.0,NaN,NaN,Marrony
3xp5g6ooahnnxyqpldskaytp1,Alhaji,Kamara,Alhaji,Kamara,Male,A. Kamara,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Attacker,player,1994-04-16,Freetown,Sierra Leone,7kilikg56sxc0dsd6168dr57b,180.0,right,45.0,2024-02-01Z,2024-09-02Z,retired,no,70.0,NaN,NaN,NaN
41ii5y9ebz5e3xhaif9kc8qmt,Jonas,Bybjerg Lössl,Jonas,Lössl,Male,J. Lössl,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1989-02-01,Kolding,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,right,1.0,2022-07-01Z,NaN,active,yes,89.0,NaN,NaN,NaN
4bojyjyvkdgm1lss6n37q2t5g,Daníel Freyr,Kristjánsson,Daníel,Kristjánsson,Male,D. Kristjánsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2005-08-30,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,left,NaN,2023-09-26Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN
4fhpb0b8muboggvquj2pvsiqx,José Carlos,Ferreira Júnior,José Carlos,Ferreira Júnior,Male,Juninho,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1995-02-01,Londrina,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,187.0,left,73.0,2021-07-13Z,2025-02-28Z,active,no,80.0,NaN,NaN,Juninho
4hgto02fd4lq0dxytg2xzkj4l,Arne,Sandstø,Arne,Sandstø,Male,A. Sandstø,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,assistant coach,1966-10-21,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2023-07-11Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
4uuqid6t4nspn0wspyltz3bx0,Jamiu Olaide,Musbaudeen,Jamiu,Musbaudeen,Male,J. Musbaudeen,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2004-07-09,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,2023-06-02Z,2023-08-03Z,active,no,NaN,NaN,NaN,NaN
4v0nwb54osw0b5d8iwlaatc5x,Pione,Sisto Ifolo Emirmija,Pione,Sisto,Male,P. Sisto,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1995-02-04,Kampala,Uganda,1j6yonplolalz6goyopv7xd1k,171.0,right,7.0,2020-09-05Z,2023-09-14Z,active,no,64.0,South Sudan,11zpzpjhf8wr0dcsrhz3suxc7,NaN
4zrsiizdbzwwkmit3ta0f0dbe,Doğuhan Aral,Şimşir,Aral,Simsir,Male,A. Şimşir,Türkiye,6kd6webenogylfgwt2aa9l6vx,Midfielder,player,2002-06-19,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,right,58.0,2023-01-01Z,NaN,active,yes,71.0,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
5ec6f4mm3rwjm0fgis0k3cmp5,Gustav,Tang Isaksen,Gustav,Isaksen,Male,G. Isaksen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2001-04-19,Hjerk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,both,11.0,2019-08-24Z,2023-08-07Z,active,no,68.0,NaN,NaN,NaN
60z63hezwwosjnhvamcwxtre1,Nikolas,Langberg Dyhr,Nikolas,Dyhr,Male,N. Dyhr,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-06-18,Horsens,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,left,44.0,2023-07-01Z,2024-01-30Z,active,no,60.0,NaN,NaN,NaN
6g3uhtf9c5ny4c086bsyipixg,Christian,Esager Rust,Christian,Rust,Male,C. Rust,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2005-02-16,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,31.0,2023-03-30Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN
6le9zh31fgpmomzdrtxjti1re,José Francisco,dos Santos Júnior,José Francisco,dos Santos Júnior,Male,Júnior Brumado,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1999-05-15,Brumado,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,190.0,right,74.0,2020-08-01Z,2023-09-01Z,active,no,88.0,NaN,NaN,Júnior Brumado
6m5ftd7c68b2d4d2931xs5srt,Oliver,Olsen,Oliver,Olsen,Male,O. Olsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-08-13,Ribe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,right,27.0,2023-07-01Z,2023-07-31Z,active,no,77.0,NaN,NaN,NaN
6nnx300mclyndvyo6frhabkk,Mark Nnamdi,Ugboh,Mark,Ugboh,Male,M. Ugboh,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Goalkeeper,player,2004-01-03,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,191.0,NaN,30.0,2022-07-18Z,2023-08-31Z,active,no,78.0,NaN,NaN,NaN
6zhj070huc77sl5o5bx6ey5g4,Gustav,Leone Fraulo,Gustav,Fraulo,Male,G. Fraulo,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-04-23,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,right,40.0,2023-02-15Z,2023-07-26Z,active,no,73.0,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
7eb63uicl4nz306gu2pmpry1g,Pablo Antonio,Ortíz Cabezas,Pablo,Ortíz,Male,P. Ortíz,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,2000-06-08,Tumaco,Colombia,6kby8rq1p01fg5ds38ckkrcs5,190.0,left,26.0,2023-07-01Z,2023-09-07Z,active,no,70.0,NaN,NaN,NaN
7qgiqoaaarr6c2bs4yffqwju2,Victor,Stange Lind,Victor,Lind,Male,V. Lind,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-07-12,Løgumkloster,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,left,NaN,2024-01-01Z,2024-01-31Z,active,no,69.0,NaN,NaN,NaN
7yfhemra2r0dqxo9k151ad7f9,Mats Kristoffer,Olsson,Kristoffer,Olsson,Male,K. Olsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1995-06-30,Vrinnevi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,right,8.0,2023-07-03Z,2025-03-29Z,active,no,70.0,NaN,NaN,NaN
