id,firstName,lastName,shortFirstName,shortLastName,knownName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,gender
537yyv46hctf4ig8h7x63cokq,Adilson,Malanda,Adilson,Malanda,NaN,A. Malanda,France,7gww28djs405rfga69smki84o,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,2001-10-29,Rouen,France,7gww28djs405rfga69smki84o,185.0,75.0,right,29.0,active,yes,NaN
603sxl8xsij9kep03px6s85m2,Akeil Omari Brandon,Cambridge,Brandon,Cambridge,NaN,B. Cambridge,Canada,1iaoypzp6syf32cz9l15pzp7e,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-02-09,NaN,USA,7hr2f89v44y65dyu9k92vprwn,183.0,79.0,NaN,36.0,active,yes,NaN
66bdf9l614g2dx43x8003m162,Nikola,Petković,Nikola,Petkovic,NaN,N. Petković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Midfielder,player,2003-02-23,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,181.0,NaN,NaN,23.0,active,yes,NaN
6bg69aksa8wb6wmu7w81is8yy,Jahlane,Forbes,JahLane,Forbes,NaN,J. Forbes,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2002-02-05,Brooklyn,USA,7hr2f89v44y65dyu9k92vprwn,183.0,70.0,NaN,40.0,active,yes,NaN
6fjpwiqcuvkedo3hhpj4341zo,Hamady,Diop,Hamady,Diop,NaN,H. Diop,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,Defender,player,2001-12-26,Dakar,Senegal,6hhqyhr5cwq2pfprlazyposyk,183.0,84.0,NaN,32.0,active,no,NaN
6oaqk4pdojnlefa3zubsysmvp,Jere Juhani,Uronen,Jere,Uronen,NaN,J. Uronen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Defender,player,1994-07-13,Turku,Finland,2u07e54v5dprsugdvddpq5ync,177.0,69.0,left,21.0,active,yes,NaN
7bxp7ho4cmsoviw19q4bxr02c,Brian,Carmona Romero,Brian,Romero,NaN,B. Romero,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Attacker,player,2006-05-11,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,NaN,active,no,NaN
8vzvcjbccc5skj9e7n5f6vd3o,Patrick,Agyemang,Patrick,Agyemang,NaN,P. Agyemang,USA,7hr2f89v44y65dyu9k92vprwn,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2000-11-07,NaN,USA,7hr2f89v44y65dyu9k92vprwn,193.0,NaN,NaN,33.0,active,yes,NaN
9b29l83qhedv79h20lgyu9tqt,Bill,Poni Tuiloma,Bill,Tuiloma,NaN,B. Tuiloma,New Zealand,wcq2y28a27syx5do1k2i2nj8,Samoa,1s42ilmwpzotzmgf4fv15uub1,Defender,player,1995-03-27,Otahuhu,New Zealand,wcq2y28a27syx5do1k2i2nj8,178.0,79.0,right,6.0,active,yes,NaN
9g7jit9xa9c5b25gfl6wy7kd1,Ashley Roy,Westwood,Ashley,Westwood,NaN,A. Westwood,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,Midfielder,player,1990-04-01,Nantwich,England,1fk5l4hkqk12i7zske6mcqju6,175.0,80.0,right,8.0,active,yes,NaN
9ohy24mxhsqao5kymh0lbxxck,Nimfasha,Berchimas,Nimfasha,Berchimas,NaN,N. Berchimas,USA,7hr2f89v44y65dyu9k92vprwn,Burundi,5d7e5052i0sb4wwloukhpafuu,Attacker,player,2008-02-22,NaN,USA,7hr2f89v44y65dyu9k92vprwn,172.0,NaN,NaN,27.0,active,yes,NaN
ahsgqqn4mjj7isq2x0fdkl49,Brandt James,Bronico,Brandt,Bronico,NaN,B. Bronico,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,1995-06-20,Westminster,USA,7hr2f89v44y65dyu9k92vprwn,176.0,72.0,right,13.0,active,yes,NaN
aiifscgp07zvj7thb3p3huelm,George,Marks,George,Marks,NaN,G. Marks,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1999-11-10,Raleigh,USA,7hr2f89v44y65dyu9k92vprwn,185.0,75.0,NaN,31.0,active,yes,NaN
bqxs1jhlsp1xlksbhs62syfbo,Kerwin Andrés,Calderón Vargas,Kerwin,Vargas,NaN,K. Vargas,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Attacker,player,2002-01-02,NaN,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,NaN,18.0,active,yes,NaN
cqx2x7351ie20giqha8hd5djp,David Matthew,Bingham,David,Bingham,NaN,D. Bingham,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1989-10-19,Castro Valley,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,NaN,22.0,active,yes,NaN
crpkn4juf1s72y9c76t3o4k16,Iuri António,Teixeira Tavares,Iuri António,Teixeira Tavares,Iuri Tavares,Iuri Tavares,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2001-03-08,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,188.0,74.0,right,38.0,active,yes,NaN
czazwj4nt23bydpdi67i0wga2,Liel,Abada,Liel,Abada,NaN,L. Abada,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,NaN,NaN,Attacker,player,2001-10-03,Petach Tikva,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,172.0,68.0,right,11.0,active,yes,NaN
dkgv1asv2glgvoddpvxe56t5g,João Pedro,Reginaldo,João Pedro,Reginaldo,João Pedro,João Pedro,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Defender,player,2003-03-14,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,184.0,73.0,NaN,20.0,active,yes,NaN
ds4avrkvrp4jxq9lp02ssci22,Nicholas,Scardina,Nicholas,Scardina,NaN,N. Scardina,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2001-06-22,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,35.0,active,yes,NaN
e05osqaqqy82h28x58kvjq67d,Enzo Nahuel,Copetti,Enzo,Copetti,NaN,E. Copetti,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Attacker,player,1996-01-16,Roque Sáenz Peña,Argentina,2vovxa97k7v7ofa85dah2xktb,180.0,88.0,NaN,9.0,active,no,NaN
eswivc2a0iwwdly6ft8eh0ogl,Brecht Emiel,Dejaegere,Brecht,Dejaegere,NaN,B. Dejaegere,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1991-05-29,Handzame,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,71.0,right,10.0,active,yes,NaN
exk9svcdgcbn05ms00fhorvv8,Jack,Neeley,Jack,Neeley,NaN,J. Neeley,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2005-03-11,Loxahatchee,USA,7hr2f89v44y65dyu9k92vprwn,185.0,77.0,NaN,39.0,active,no,NaN
f2nxpa1xl9b1fvp8v02l8h979,Dean,Smith,Dean,Smith,NaN,D. Smith,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,NaN,coach,1971-03-19,West Bromwich,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,NaN,NaN,active,yes,NaN
ki6c06zvxjgsdw8w80oxvz6d,Karol Grzegorz,Świderski,Karol,Swiderski,NaN,K. Świderski,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,Attacker,player,1997-01-23,Rawicz,Poland,27baqb7359ywdvsxxklx1kn11,184.0,77.0,left,9.0,active,yes,NaN
1khy4w78z012p8z20gcp0nrvt,Hugo Jean-Marc,Cuypers,Hugo,Cuypers,NaN,H. Cuypers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,1997-02-07,Liège,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,75.0,right,9.0,active,yes,NaN
1yh0h1t66koqvoxsqfo11y8k5,Paulo Roberto,Corradi Nagamura,Paulo,Nagamura,NaN,Paulo Nagamura,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,NaN,assistant coach,1983-03-02,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,173.0,70.0,right,NaN,active,yes,NaN
2343y1f4dtezub9633ghspqi2,Robert Jonathan,Dean Jr,Jonathan,Dean,NaN,J. Dean,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,1997-05-15,Macon,USA,7hr2f89v44y65dyu9k92vprwn,173.0,72.0,NaN,24.0,active,yes,NaN
2a7d7z43hxbr45itcvu4iklx,Charles James,Brown,Charles James,Brown,NaN,C. Brown,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,assistant coach,1975-06-15,Eugene,USA,7hr2f89v44y65dyu9k92vprwn,183.0,84.0,NaN,NaN,active,yes,NaN
2atsox1bassuexlgta8h3us4p,Christian Loïc,Koffi,Christian,Koffi,NaN,C. Koffi,France,7gww28djs405rfga69smki84o,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2000-08-28,Paris,France,7gww28djs405rfga69smki84o,173.0,NaN,right,NaN,active,yes,NaN
38p90lsdc5iv1jvjbhiinv6ne,Javier,Casas Jr.,Javier,Casas,NaN,J. Casas,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2003-05-14,Addison,USA,7hr2f89v44y65dyu9k92vprwn,173.0,65.0,right,37.0,active,yes,NaN
3nyl7lxka41yl4yep8rzj95d6,Victor,Bezerra,Victor,Bezerra,NaN,V. Bezerra,USA,7hr2f89v44y65dyu9k92vprwn,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,2000-02-05,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,188.0,79.0,NaN,NaN,active,no,NaN
3oca1lvb4fr3l6efbstc8k6ad,Spencer,McNair Richey,Spencer,Richey,NaN,S. Richey,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1992-05-30,Seattle,USA,7hr2f89v44y65dyu9k92vprwn,185.0,88.0,NaN,18.0,active,yes,NaN
3wqt973vv7pwqg5t796yxc9n9,Frank,Klopas,Frank,Klopas,NaN,F. Klopas,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,coach,1966-09-01,Prosimna,Greece,6lpgd60z890no2v46zdecrcss,175.0,NaN,NaN,NaN,active,yes,NaN
43p1gt8nq7p1xf3y3xqmznqh,Chase Blair,Gasper,Chase,Gasper,NaN,C. Gasper,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1996-01-25,Alexandria,USA,7hr2f89v44y65dyu9k92vprwn,183.0,83.0,NaN,77.0,active,yes,NaN
47tuiac0bvncdjchhc2umerjd,Fabian,Herbers,Fabian,Herbers,NaN,F. Herbers,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1993-08-17,Ahaus,Germany,36min0qztu8eydwvpv8t1is0m,183.0,75.0,right,21.0,active,yes,NaN
4905smnxfjmrv8ofswccszuqy,Brian,Gutiérrez,Brian,Gutiérrez,NaN,B. Gutiérrez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2003-06-17,"Chicago, IL",USA,7hr2f89v44y65dyu9k92vprwn,178.0,64.0,right,17.0,active,yes,NaN
4fsa5gccqi6eiy0a4jau4swrt,Wyatt,Omsberg,Wyatt,Omsberg,NaN,W. Omsberg,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1995-09-21,Belgrade,USA,7hr2f89v44y65dyu9k92vprwn,193.0,82.0,NaN,16.0,active,yes,NaN
4r4a2d3piuh8wusw8ftrsh016,Bryan,Dowd,Bryan,Dowd,NaN,B. Dowd,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,2002-03-08,Oak Park,USA,7hr2f89v44y65dyu9k92vprwn,190.0,80.0,NaN,78.0,active,no,NaN
5d341k1dxhlbetyh965z3q784,Jaylen,Shannon,Jaylen,Shannon,NaN,J. Shannon,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2000-02-10,St. Joseph,USA,7hr2f89v44y65dyu9k92vprwn,187.0,NaN,NaN,NaN,active,yes,NaN
5sphos4tiokzmv1iqqsa1invu,Missael,Rodríguez Padilla,Missael,Rodríguez,NaN,M. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Attacker,player,2003-02-09,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,175.0,73.0,NaN,NaN,active,no,NaN
5wyc0yzl39mfgquufx99bae39,Gastón Claudio,Giménez,Gastón,Giménez,NaN,G. Giménez,Paraguay,4snnlul02xmgkkb024q2bqyn9,Argentina,2vovxa97k7v7ofa85dah2xktb,Midfielder,player,1991-07-27,Formosa,Argentina,2vovxa97k7v7ofa85dah2xktb,188.0,82.0,left,30.0,active,yes,NaN
64wbk2nsrs0ru0hjcq0lenwgk,Sergio,Oregel Jr.,Sergio,Oregel,NaN,S. Oregel,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2005-05-16,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,65.0,NaN,35.0,active,yes,NaN
6k22ppzw6wv0c4gskzxk28fyt,Kellyn Kai,Perry-Acosta,Kellyn,Acosta,NaN,K. Acosta,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,1995-07-24,Plano,USA,7hr2f89v44y65dyu9k92vprwn,175.0,68.0,right,23.0,active,yes,NaN
6ycb14t59u46bwsvbb4kuur1m,Christopher Keith,Brady,Chris,Brady,NaN,C. Brady,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,2004-03-03,NaN,USA,7hr2f89v44y65dyu9k92vprwn,191.0,77.0,NaN,34.0,active,yes,NaN
72xktsosbsh2uwkwby59mr6z8,Diego Juan,Konincks,Diego,Konincks,NaN,D. Konincks,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2000-11-30,Montfoort,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,84.0,NaN,42.0,active,yes,NaN
79knhnp7bvpjomzz14k715wtm,Omari Nkosi Matthew,Glasgow,Omari,Glasgow,NaN,O. Glasgow,Guyana,zpgq0l9kubdo7r4zonkowr1c,NaN,NaN,Attacker,player,2003-11-22,Georgetown,Guyana,zpgq0l9kubdo7r4zonkowr1c,175.0,69.0,NaN,55.0,active,yes,NaN
7iavd5damj4yxqgh65jgssnah,Christopher Matthew,Mueller,Chris,Mueller,NaN,C. Mueller,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,1996-08-29,Schaumburg,USA,7hr2f89v44y65dyu9k92vprwn,175.0,75.0,right,8.0,active,yes,NaN
7s1q4rd90gi1gwbko34fuvhlh,Xherdan,Shaqiri,Xherdan,Shaqiri,NaN,X. Shaqiri,Switzerland,3bh70jgvc5mn58x0byjkuda17,Kosovo,86u6edbqifdjsn49mbp2anw7p,Midfielder,player,1991-10-10,Gjilan,Kosovo,86u6edbqifdjsn49mbp2anw7p,170.0,72.0,both,10.0,active,yes,NaN
8cawa8470beg2ce0as7hv5psl,Arnaud,Souquet,Arnaud,Souquet,NaN,A. Souquet,France,7gww28djs405rfga69smki84o,NaN,NaN,Defender,player,1992-02-12,Paris,France,7gww28djs405rfga69smki84o,179.0,72.0,right,2.0,active,yes,NaN
8xlpfw4gjhnkylqo646c917u,Carlos,Terán Díaz,Carlos,Terán,NaN,C. Terán,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Defender,player,2000-09-24,Turbo,Colombia,6kby8rq1p01fg5ds38ckkrcs5,188.0,85.0,NaN,4.0,active,yes,NaN
935srx8zzpfqhkqdl14tohf1m,Georgios,Koutsias,Georgios,Koutsias,NaN,G. Koutsias,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,Attacker,player,2004-02-08,Thessaloniki,Greece,6lpgd60z890no2v46zdecrcss,180.0,74.0,right,19.0,active,yes,NaN
99hdzy5s45xr72d3lgttdmne1,Jeffrey Joseph,Gal,Jeffrey,Gal,NaN,J. Gal,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1993-04-06,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,187.0,NaN,NaN,25.0,active,yes,NaN
a5bkiy2acihib9s4gbj31og5x,Rafael,Czichos,Rafael,Czichos,NaN,R. Czichos,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1990-05-14,Jeddah,Saudi Arabia,639nv0r2ixeusx4nzqyzb5iuq,187.0,86.0,left,5.0,active,yes,NaN
acskv7krqaau05kpgbfz6f0iy,Justin Pledger,Reynolds,Justin,Reynolds,NaN,J. Reynolds,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2004-08-04,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,178.0,77.0,right,36.0,active,yes,NaN
b1p6qcv8wjzoxoax3nt13n5gq,Dawid,Poręba,David,Poreba,NaN,D. Poręba,Poland,27baqb7359ywdvsxxklx1kn11,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-12-01,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,178.0,77.0,NaN,48.0,active,yes,NaN
bmuexenaurjeso2dgx2zkbys5,Mauricio,Pineda,Mauricio,Pineda,NaN,M. Pineda,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1997-10-17,Chicago,USA,7hr2f89v44y65dyu9k92vprwn,185.0,78.0,NaN,22.0,active,yes,NaN
chjcbjc5nv8uyiusfafts5zv9,Tobias Frank,Salquist Nielsen,Tobias,Salquist,NaN,T. Salquist,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1995-05-18,Ikast,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,85.0,both,14.0,active,yes,NaN
cqa20tk6yzfxh21e85rc0bm51,Andrew David,Gutman,Andrew,Gutman,NaN,A. Gutman,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1996-10-02,Hinsdale,USA,7hr2f89v44y65dyu9k92vprwn,178.0,72.0,NaN,15.0,active,yes,NaN
d8uucuj8x9geirjn1wqdu5fqh,Maren,Haile-Selassie,Maren,Haile-Selassie,NaN,M. Haile-Selassie,Switzerland,3bh70jgvc5mn58x0byjkuda17,Ethiopia,5rbnsdndc8mp36d76dwuzd2ow,Midfielder,player,1999-03-13,Zürich,Switzerland,3bh70jgvc5mn58x0byjkuda17,177.0,68.0,right,7.0,active,yes,NaN
dnkvm6zpfsxyjie6esilvw15,Tom,Barlow,Tom,Barlow,NaN,T. Barlow,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,1995-07-08,St. Louis,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,NaN,12.0,active,yes,NaN
ed0uwmy1b5cx7ytgkt34bc5m2,Federico Darío,Navarro,Federico,Navarro,NaN,F. Navarro,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Midfielder,player,2000-03-09,Santa Fe,Argentina,2vovxa97k7v7ofa85dah2xktb,171.0,69.0,right,31.0,active,yes,NaN
q9ptiw2kacxpmw3i9h8rsb56,Allan,Arigoni,Allan,Arigoni,NaN,A. Arigoni,Switzerland,3bh70jgvc5mn58x0byjkuda17,NaN,NaN,Defender,player,1998-11-04,Zürich,Switzerland,3bh70jgvc5mn58x0byjkuda17,184.0,80.0,right,27.0,active,yes,NaN
1hmpdcdt0ce137fqku7evu6s5,Gerardo Daniel,Martino,Gerardo,Martino,NaN,G. Martino,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,coach,1962-11-20,Rosario,Argentina,2vovxa97k7v7ofa85dah2xktb,170.0,NaN,NaN,NaN,active,yes,NaN
1ualutyc52dvwdwjymtpm1z6y,Emerson Rivaldo,Rodríguez Valois,Emerson,Rodríguez,NaN,E. Rodríguez,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,2000-08-25,Buenaventura,Colombia,6kby8rq1p01fg5ds38ckkrcs5,174.0,68.0,NaN,NaN,active,no,NaN
1yl2e0y3cglm1nwto5uzs3e5m,Lawson Connery,Sunderland,Lawson,Sunderland,NaN,L. Sunderland,USA,7hr2f89v44y65dyu9k92vprwn,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2001-11-07,Aurora,USA,7hr2f89v44y65dyu9k92vprwn,190.0,NaN,right,43.0,active,yes,NaN
269gnyszrb8ezl57m1ampsdlh,DeAndre Roselle,Yedlin,DeAndre,Yedlin,NaN,D. Yedlin,USA,7hr2f89v44y65dyu9k92vprwn,Latvia,6s9bglosczqlp9cxh3ze5hdm5,Defender,player,1993-07-09,Seattle,USA,7hr2f89v44y65dyu9k92vprwn,173.0,75.0,right,2.0,active,no,NaN
29rxabx4plofa06zgwuxlejca,Drake Steven,Callender,Drake,Callender,NaN,D. Callender,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1997-10-07,Sacramento,USA,7hr2f89v44y65dyu9k92vprwn,191.0,88.0,right,1.0,active,yes,NaN
3ndpqn2snwrmb51rbadhrroph,Nicolás Omar,Freire Gomez,Nicolás,Freire,NaN,N. Freire,Argentina,2vovxa97k7v7ofa85dah2xktb,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,1994-02-18,Santa Lucía,Argentina,2vovxa97k7v7ofa85dah2xktb,186.0,80.0,left,21.0,active,yes,NaN
3oqz86s2ngipsrb1jbb36buqy,Noah James,Allen,Noah,Allen,NaN,N. Allen,USA,7hr2f89v44y65dyu9k92vprwn,Greece,6lpgd60z890no2v46zdecrcss,Defender,player,2004-04-28,Pembroke Pines,USA,7hr2f89v44y65dyu9k92vprwn,175.0,66.0,left,32.0,active,yes,NaN
40za2m92ngp5og8pxyrkxl3is,Israel Ramón,Boatwright de la Cruz,Israel,Boatwright,NaN,I. Boatwright,Dominican Republic,za9wn9847gulllfsey917tmk,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2005-06-02,Grand Rapids,USA,7hr2f89v44y65dyu9k92vprwn,183.0,80.0,right,62.0,active,yes,NaN
4o6f3mnd39fx700o3jvj0wct1,Jordi,Alba Ramos,Jordi,Alba,NaN,Jordi Alba,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Defender,player,1989-03-21,L'Hospitalet de Llobregat,Spain,49ih1pwv3ahshdf8uzrimi54c,170.0,68.0,left,18.0,active,yes,NaN
4qfqw1u2uvuardvdjw3pp6oyx,Franco,Negri,Franco,Negri,NaN,F. Negri,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1995-02-20,San Martín,Argentina,2vovxa97k7v7ofa85dah2xktb,170.0,70.0,left,33.0,active,yes,NaN
4ru6rqe3k46cssdxeqfzqveqy,Felipe Andres,Valencia,Felipe,Valencia,NaN,F. Valencia,USA,7hr2f89v44y65dyu9k92vprwn,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Attacker,player,2005-03-01,Homestead,USA,7hr2f89v44y65dyu9k92vprwn,175.0,63.0,NaN,35.0,active,no,NaN
5q5ti9wmab56mk2995qk01ixg,Benjamín,Cremaschi,Benja,Cremaschi,NaN,B. Cremaschi,USA,7hr2f89v44y65dyu9k92vprwn,Argentina,2vovxa97k7v7ofa85dah2xktb,Midfielder,player,2005-03-02,Miami,USA,7hr2f89v44y65dyu9k92vprwn,180.0,72.0,right,30.0,active,yes,NaN
67fdwcro1s98tnlsd44l0e12h,Héctor David,Martínez,David,Martínez,David Martínez,D. Martínez,Paraguay,4snnlul02xmgkkb024q2bqyn9,Argentina,2vovxa97k7v7ofa85dah2xktb,Defender,player,1998-01-21,Buenos Aires,Argentina,2vovxa97k7v7ofa85dah2xktb,180.0,75.0,left,NaN,active,yes,NaN
6rf06scmlaprgplvvw0oyb9ck,David Antonio,Ochoa Posas,David,Ruíz,NaN,D. Ruíz,Honduras,56ftnqeq3x3j77uone8qm5ow6,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2004-02-08,Miami,USA,7hr2f89v44y65dyu9k92vprwn,181.0,NaN,NaN,41.0,active,yes,NaN
7sat48woo1kh2msn0euos25lh,Sergii,Kryvtsov,Sergii,Kryvtsov,NaN,S. Kryvtsov,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Defender,player,1991-03-15,Zaporizhzhia,Ukraine,315w6fk6umfzf4qvba3t55u61,186.0,83.0,right,27.0,active,yes,NaN
7ve3vmg19c3g91j7zs32oecd0,Ricardo,Montenegro,Ricardo,Montenegro,NaN,R. Montenegro,USA,7hr2f89v44y65dyu9k92vprwn,Honduras,56ftnqeq3x3j77uone8qm5ow6,Midfielder,player,2004-09-23,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,69.0,active,yes,NaN
7x098qxoirgwlu38q1v969s6h,Carlos Joaquim,Antunes dos Santos,CJ,dos Santos,NaN,C. dos Santos,USA,7hr2f89v44y65dyu9k92vprwn,Portugal,1nbm5i9a0403zzvltn17lxinc,Goalkeeper,player,2000-08-24,Philadelphia,USA,7hr2f89v44y65dyu9k92vprwn,194.0,86.0,right,29.0,active,yes,NaN
7zxlvirhhicdubzsoftyvl591,Matías Nicolás,Rojas Romero,Matías,Rojas,NaN,M. Rojas,Paraguay,4snnlul02xmgkkb024q2bqyn9,NaN,NaN,Midfielder,player,1995-11-03,Asunción,Paraguay,4snnlul02xmgkkb024q2bqyn9,180.0,78.0,left,7.0,active,yes,NaN
87plrqqcwrv16d5v8mretfp7u,Ian Charles Michael,Fray,Ian,Fray,NaN,I. Fray,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2002-08-31,Coconut Creek,USA,7hr2f89v44y65dyu9k92vprwn,183.0,72.0,right,17.0,active,yes,NaN
977s1fxwxwxqbged7jln0nka2,Leonardo,Frugis Afonso,Leonardo,Frugis Afonso,Leo Afonso,Leo Afonso,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,2001-07-13,Sao Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,180.0,72.0,NaN,73.0,active,yes,NaN
9q5zpsvautv4wec936axq78r8,Javier Damián,Morales,Javier,Morales,NaN,J. Morales,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,NaN,assistant coach,1980-01-10,NaN,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,NaN,NaN,active,yes,NaN
a365spmnuj55ejz5ekz1khjh1,Jean,Mota Oliveira de Sousa,Jean,Mota Oliveira de Sousa,Jean Mota,Jean Mota,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1993-10-15,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,172.0,68.0,left,7.0,active,no,NaN
