id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
7x1byyfgzq7nqd3qhm6pmfoph,Josef,Jindřišek,Josef,Jindrisek,Male,J. Jindřišek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1981-02-14,Plavy,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,80.0,right,4.0,active,yes,NaN
8th1h67uitbd8iicy3su0du96,Denis,Vala,Denis,Vala,Male,D. Vala,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-10-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,18.0,active,yes,NaN
9kjzskap2gy1pexzeeun8kq1h,Lukáš,Hůlka,Lukás,Hulka,Male,L. Hůlka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1995-03-31,Mladá Boleslav,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,70.0,NaN,28.0,active,yes,NaN
9lgmu38j7uji6ia8jhqy5l785,Jan,Vondra,Jan,Vondra,Male,J. Vondra,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1995-09-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,22.0,active,yes,NaN
babj40orc5toqwgircd8vmyac,Matěj,Kadlec,NaN,NaN,Male,M. Kadlec,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2002-04-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,3.0,active,yes,NaN
bo8dbi6fmrx9nle376qpcy02d,Jan,Shejbal,Jan,Shejbal,Male,J. Shejbal,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1994-04-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,79.0,NaN,2.0,active,yes,NaN
c8ymcfou0m320vf45g6lrl6tx,Adam,Jánoš,Adam,János,Male,A. Jánoš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1992-07-20,Uherské Hradiště,Czechia,5md5tpwr2nmqao528prx43jr7,172.0,69.0,NaN,8.0,active,yes,NaN
cafkkaxe4b5ou0woqk1ul8zx1,Jan,Kovařík,Jan,Kovarík,Male,J. Kovařík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1988-06-19,Most,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,82.0,left,19.0,active,yes,NaN
cgd3nuem5k84aq4r8cla68zpx,Roman,Valeš,Roman,Vales,Male,R. Valeš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1990-03-06,Rožďalovice,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,84.0,NaN,1.0,active,yes,NaN
d1ygauq573y5qe8dqv25es3x1,Martin,Hála,Martin,Hála,Male,M. Hála,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1992-03-24,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,70.0,NaN,17.0,active,yes,NaN
d4ckr6fsf7z62nx8bsfka6thx,Jakub,Šiman,Jakub,Siman,Male,J. Šiman,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1995-01-07,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,197.0,NaN,NaN,71.0,active,yes,NaN
dlhk63jxjq2lylne8g928b9hx,Aleš,Čermák,Ales,Cermák,Male,A. Čermák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1994-10-01,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,75.0,right,47.0,active,yes,NaN
dmq733y857qtzc7tqwcudkpud,Robert,Hrubý,Robert,Hruby,Male,R. Hrubý,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1994-04-27,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,78.0,right,88.0,active,yes,NaN
ejoci42pug77q1jpcr27vpc5x,Antonín,Křapka,Antonín,Krapka,Male,A. Křapka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1994-01-22,Mladá Boleslav,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,NaN,NaN,34.0,active,yes,NaN
elpc7t9fht0m7sqnllnxi3utx,Milan,Ristovski,Milan,Ristovski,Male,M. Ristovski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN,NaN,Attacker,player,1998-04-08,Skopje,North Macedonia,1lesyxylc5eza0a4z87t9azcc,188.0,77.0,right,77.0,active,yes,NaN
17kos5rsjahn9d5mm3nb6rxlh,Dominik,Holec,Dominik,Holec,Male,D. Holec,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Goalkeeper,player,1994-07-28,České Budějovice,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,87.0,NaN,30.0,active,yes,NaN
31cd32e2yteigp8uax3xbij8p,David,Buchta,David,Buchta,Male,D. Buchta,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1999-06-27,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,NaN,right,9.0,active,yes,NaN
330k0yqjq1ubnkfpfshp2h6qy,Jakub,Markovič,Jakub,Markovic,Male,J. Markovič,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2001-07-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,188.0,78.0,NaN,35.0,active,yes,NaN
3r9l6aafy6rsty0329wzcdf6c,Issa,Fomba,Issa,Fomba,Male,I. Fomba,Mali,d0v29nncgikdswlxpdq553zz,NaN,NaN,Midfielder,player,2001-05-24,Bamako,Mali,d0v29nncgikdswlxpdq553zz,176.0,NaN,both,23.0,active,yes,NaN
40fv4116wara4uzasuvwswcbu,Eldar,Šehić,Eldar,Sehic,Male,E. Šehić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,Defender,player,2000-04-28,Sarajevo,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,183.0,NaN,NaN,11.0,active,no,NaN
4fsu74aeogf53l2g1tx89vuok,Matěj,Šín,Matej,Sín,Male,M. Šín,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2004-06-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,10.0,active,yes,NaN
4ydkw53jymlk7i5mhmse8akgk,Raymond Roan,Nogha Nogha,Roan,Nogha,Male,R. Nogha,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,Midfielder,player,2004-03-12,NaN,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,NaN,18.0,active,yes,NaN
5b2tbq19vxam77qz7y29utxt6,Matúš,Rusnák,Matús,Rusnák,Male,M. Rusnák,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Defender,player,1999-12-19,Levice,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,NaN,NaN,66.0,active,yes,NaN
5ienp2aps4qph520jh9j1tw45,Pavel,Hapal,Pavel,Hapal,Male,P. Hapal,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,coach,1969-07-27,Kroměříž,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
6mlztsk5pqy7kiagn593y6jh0,Quadri,Adebayo Adediran,Quadri,Adediran,Male,Q. Adediran,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,2000-10-10,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,175.0,NaN,left,8.0,active,no,NaN
7tc1glrem1sc2vev7j2we0pux,Michal,Fukala,Michal,Fukala,Male,M. Fukala,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-10-22,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,80.0,right,6.0,active,yes,NaN
8qs49eo6g1c47tjabbns2elg4,Tomáš,Rigo,Tomás,Rigo,Male,T. Rigo,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,2002-07-03,Poprad,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,76.0,right,12.0,active,yes,NaN
8sbuwkh69iyiy3rtepgvlmu0a,Karel,Pojezný,Karel,Pojezny,Male,K. Pojezný,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2001-09-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,7.0,active,yes,NaN
8utfqkk9niq1xvdhsw0f4awut,Matěj,Chaluš,Matej,Chalus,Male,M. Chaluš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1998-02-02,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,80.0,right,37.0,active,yes,NaN
9jh6n6ztbudt5aluf0ibzls6h,Erik,Prekop,Erik,Prekop,Male,E. Prekop,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Attacker,player,1997-10-08,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,77.0,NaN,33.0,active,yes,NaN
9udih61a8rpolajfiwzfu0bmd,Daniel,Holzer,Daniel,Holzer,Male,D. Holzer,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1995-08-18,Ostrava,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,64.0,left,95.0,active,yes,NaN
b1ap0otjnsb8ovezto8ah8k4p,Ewerton,Paixão da Silva,Ewerton,Paixão da Silva,Male,Ewerton,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1996-12-28,São Bernardo do Campo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,left,32.0,active,yes,Ewerton
b8jbqdekui6r6ftp6gqcxknpw,Mikuláš,Kubný,Mikulás,Kubny,Male,M. Kubný,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2004-09-12,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,41.0,active,yes,NaN
bes2338p41qjcga6bs5q4zitw,Samuel,Grygar,Samuel,Grygar,Male,S. Grygar,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2004-08-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,13.0,active,yes,NaN
bumtq0hqoqhpix62l3m6fy489,Patrick,Kpozo,Patrick,Kpozo,Male,P. Kpozo,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Defender,player,1997-07-15,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,181.0,81.0,left,15.0,active,yes,NaN
cu414j6tqk82k4yc7rzd4rysp,Filip,Kubala,Filip,Kubala,Male,F. Kubala,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1999-09-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,78.0,NaN,28.0,active,yes,NaN
cu4dqx3aewffks6eu58ub41zo,Emmanuel Uchenna,Aririerisim,Uchenna,Aririerisim,Male,U. Aririerisim,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Defender,player,2003-12-04,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,2.0,active,yes,NaN
dh934ddg4sxkbekgyph8or74l,Jiří,Klíma,Jirí,Klíma,Male,J. Klíma,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1997-01-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,191.0,86.0,NaN,21.0,active,yes,NaN
e2tr6610dr5kvfl5ohu7sdzp,Michal,Frydrych,Michal,Frydrych,Male,M. Frydrych,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1990-02-27,Hustopeče nad Bečvou,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,83.0,right,17.0,active,yes,NaN
ea0xgdodlgctaxvwy5zd8gpgp,Jiří,Boula,Jirí,Boula,Male,J. Boula,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1999-04-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,67.0,NaN,5.0,active,yes,NaN
ep3p76spn5ck4sayatvdxx0k4,Radim,Šudák,Radim,Sudák,Male,R. Šudák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2004-03-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,167.0,NaN,right,14.0,active,yes,NaN
eq790ntit6131xw3ag2x0siui,Abdullahi,Tanko,Abdullahi,Tanko,Male,A. Tanko,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,1998-05-12,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,right,20.0,active,yes,NaN
qu18vd74g7279me6z0lcxmnd,David,Lischka,David,Lischka,Male,D. Lischka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1997-08-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,188.0,82.0,left,19.0,active,yes,NaN
rdrmf211h8yos26qft4y7yt,Jan,Juroška,Jan,Juroska,Male,J. Juroška,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1993-03-02,Valašské Meziříčí,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,72.0,NaN,24.0,active,yes,NaN
tgxeafc0xwsjyy181b18k2c5,Tomás,Galásek,Tomas,Galásek,Male,T. Galásek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1973-01-15,Frydek-Mistek,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,77.0,NaN,NaN,active,yes,NaN
25hl8ncgtkgulnwd92zczbs44,Daniel,Samek,Daniel,Samek,Male,D. Samek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2004-02-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,NaN,right,18.0,active,yes,NaN
2gfrz7llszxg2i8ij1jqm8dlh,Václav,Pilař,Václav,Pilar,Male,V. Pilař,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1988-10-13,Chlumec nad Cidlinou,Czechia,5md5tpwr2nmqao528prx43jr7,171.0,71.0,both,6.0,active,yes,NaN
2jgu8sem4m1ftu8hq0o4vtst0,Daniel,Kaštánek,Daniel,Kastánek,Male,D. Kaštánek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2003-03-12,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,19.0,active,yes,NaN
38qfw1p4b31ui1ag996vghqt,Tomáš,Petrášek,Tomás,Petrásek,Male,T. Petrášek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1992-03-02,Rychnov nad Kněžnou,Czechia,5md5tpwr2nmqao528prx43jr7,199.0,NaN,right,4.0,active,yes,NaN
3bh2udfj5run303fagtx1s8vd,Daniel,Horák,Daniel,Horák,Male,D. Horák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2000-05-10,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,26.0,active,yes,NaN
3bigp3qyx0krlzzi6uonhmoh6,Stanislav,Hejkal,Stanislav,Hejkal,Male,S. Hejkal,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1970-01-03,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
3od2va5fa9pj4q6n1sp45vs2d,David,Horejš,NaN,NaN,Male,D. Horejš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,coach,1977-05-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,76.0,NaN,NaN,active,yes,NaN
56rghk02z5qvuwesnawoswfhm,Jakub,Klíma,Jakub,Klíma,Male,J. Klíma,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1998-08-28,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,NaN,NaN,14.0,active,yes,NaN
5nb31ongtpuay1rn17e7e9coa,Petr,Pudhorocký,Petr,Pudhorocky,Male,P. Pudhorocký,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2001-06-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,10.0,active,yes,NaN
5rlyn13uzbrn3wevjkj8agzc9,Jakub,Kučera,NaN,NaN,Male,J. Kučera,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1997-01-28,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,78.0,NaN,28.0,active,yes,NaN
5zlm5c7bgdms0370tbxewxeqx,Ondřej,Šašinka,Ondrej,Sasinka,Male,O. Šašinka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1998-03-21,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,81.0,left,27.0,active,yes,NaN
67sn4t5twr0ludex2p8nowr11,Adam,Vlkanova,Adam,Vlkanova,Male,A. Vlkanova,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1994-09-04,Hradec Králové,Czechia,5md5tpwr2nmqao528prx43jr7,169.0,60.0,both,58.0,active,yes,NaN
6qlo3uoijwqc0ef5k23w83r9x,Ladislav,Krejčí,Ladislav,Krejcí,Male,L. Krejčí,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1992-07-05,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,67.0,left,7.0,active,yes,NaN
6s2qnkbcscdmkhyx5r5787aqc,Daniil,Holovatskyi,NaN,NaN,Male,D. Holovatskyi,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Defender,player,2003-06-29,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,187.0,NaN,left,15.0,active,yes,NaN
76nqspzculap4o1dvvhdwn2ll,David,Heidenreich,David,Heidenreich,Male,D. Heidenreich,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-06-24,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,191.0,72.0,right,8.0,active,yes,NaN
77r4hf2uohwyjw93tfx6sk9gp,František,Čech,NaN,NaN,Male,F. Čech,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1998-06-12,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,69.0,NaN,25.0,active,yes,NaN
7ye5o826mur1l5ch22zjmpe6s,Daniel,Hais,NaN,NaN,Male,D. Hais,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2003-06-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,16.0,active,no,NaN
952n19xag8sh4pozr79qprxbe,Matyáš,Vágner,Matyás,Vágner,Male,M. Vágner,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2003-02-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,20.0,active,yes,NaN
99763os7b0tblnpzclm4bklqs,Martin,Hlaváč,NaN,NaN,Male,M. Hlaváč,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2002-08-22,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,24.0,active,yes,NaN
9jt4x3i6rcp6rzdhsym7l1v4l,Hynek,Prokeš,NaN,NaN,Male,H. Prokeš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1986-12-03,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
9lz2kyd7dcq5cggjuc0g1chsk,Petr,Juliš,NaN,NaN,Male,P. Juliš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2003-04-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,17.0,active,yes,NaN
ab470admyu96ui8vuuybym2vo,Karel,Spáčil,NaN,NaN,Male,K. Spáčil,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2003-05-18,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,13.0,active,yes,NaN
ac1jv4urgx17jya5ixjaxclt6,Patrik,Vízek,NaN,NaN,Male,P. Vízek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1993-02-26,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,188.0,83.0,NaN,1.0,active,yes,NaN
be7780ylv09ru3173kb0eqstm,Matěj,Náprstek,Matej,Naprstek,Male,M. Náprstek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2003-07-27,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,23.0,active,yes,NaN
bptjm5hzs0fiincv8xzwq4m0a,Filip,Čihák,Filip,Cihák,Male,F. Čihák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1999-07-10,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,80.0,NaN,5.0,active,yes,NaN
bttabwlvc5fxvw9gphuohznfu,Matěj,Koubek,Matej,Koubek,Male,M. Koubek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2000-01-10,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,29.0,active,yes,NaN
cepzhrnnpa73ogetj5ox3pg45,Lukáš,Čmelík,Lukás,Cmelík,Male,L. Čmelík,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,1996-04-13,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,74.0,right,9.0,active,yes,NaN
cg3fk0cm3r2edv5u9ng4ef4yd,Ondřej,Mihálik,Ondrej,Mihálik,Male,O. Mihálik,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1997-04-02,Jablonec nad Nisou,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,74.0,right,37.0,active,yes,NaN
clv5qhdszqe6gjr4szuh4j0q2,Štěpán,Harazim,Stepán,Harazim,Male,Š. Harazim,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-07-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,21.0,active,yes,NaN
dt1jqc35t5c7eg0qxs3qbxm21,Petr,Kodeš,NaN,NaN,Male,P. Kodeš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1996-01-31,Krupka,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,72.0,NaN,22.0,active,yes,NaN
dvjwntanmbqn589udkr6nub1m,Adam,Zadražil,Adam,Zadrazil,Male,A. Zadražil,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2000-08-06,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,12.0,active,yes,NaN
xbp16o2bijkl84w1lklyua51,Samuel,Dancák,Samuel,Dancák,Male,S. Dancák,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,1998-03-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,11.0,active,yes,NaN
24ag393ieajcfwhg66ui2zotm,Ahmad Abubakar,Ghali,NaN,NaN,Male,A. Ghali,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,2000-06-23,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,170.0,64.0,NaN,25.0,active,yes,NaN
2q96bh24g7zn9eh6wfyel6mtw,Marek,Icha,Marek,Icha,Male,M. Icha,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2002-03-14,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,8.0,active,yes,NaN
2vg1sywhleeynm8b48nf7pqms,Matěj,Strnad,NaN,NaN,Male,M. Strnad,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2006-05-29,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,14.0,active,yes,NaN
2we6yk2a54d89zp0kx0bs6u50,Adam,Ševínský,Adam,Sevinsky,Male,A. Ševínský,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2004-06-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,13.0,active,yes,NaN
35nwysid10cxun9k4fsbq9tqt,Michael,Rabušic,Michael,Rabusic,Male,M. Rabušic,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1989-09-17,Trebic,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,80.0,right,7.0,active,yes,NaN
384b17flg6v3vdd83k5t9fris,Sebastian,Kop,NaN,NaN,Male,S. Kop,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2005-08-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,29.0,active,yes,NaN
39d7gtc61hczsyvgvkynbfm51,Ľubomír,Tupta,Lubomír,Tupta,Male,Ľ. Tupta,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Attacker,player,1998-03-27,Prešov,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,74.0,right,10.0,active,yes,NaN
4cszkdyzm6678s5f4heode2g9,Ivan,Krajčírik,Ivan,Krajcírik,Male,I. Krajčírik,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Goalkeeper,player,2000-06-15,Handlová,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,83.0,left,1.0,active,yes,NaN
59clzbjr79ql4nsqgoni54uwa,Lukáš,Letenay,NaN,NaN,Male,L. Letenay,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Attacker,player,2001-04-19,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,21.0,active,yes,NaN
5nqonu6ea844ish2k3m5le3je,Denis,Višinský,Denis,Visinsky,Male,D. Višinský,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2003-03-21,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,5.0,active,yes,NaN
6aix1hco452fr97ua35arto4q,Qëndrim,Zyba,Qëndrim,Zyba,Male,Q. Zyba,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,Midfielder,player,2001-02-03,Suharekë,Kosovo,86u6edbqifdjsn49mbp2anw7p,184.0,74.0,right,34.0,active,yes,NaN
73akea5hi9ygl6lbnd5thp79w,Patrik,Dulay,NaN,NaN,Male,P. Dulay,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,2005-03-03,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,24.0,active,yes,NaN
