id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,status,active,weight,endDate,knownName
d6bcf95tgmgethdjhhfb6uqqd,Florin Cornel,Stângă,Florin,Stanga,Male,F. Stângă,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,assistant coach,1978-06-22,Brașov,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,NaN,NaN,2024-01-01Z,active,yes,75.0,NaN,NaN
d6ffps9c9eknqa5f2aombxdlg,Oscar,Correia Ferreira,Oscar,Correia,Male,O. Correia,Switzerland,3bh70jgvc5mn58x0byjkuda17,NaN,NaN,Attacker,player,1997-09-28,Genève,Switzerland,3bh70jgvc5mn58x0byjkuda17,180.0,left,10.0,2025-09-04Z,active,yes,76.0,NaN,NaN
d9rzos37h5f31nn0iqry4vb4k,David Ionuț,Paraschiv,David,Paraschiv,Male,D. Paraschiv,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2006-09-28,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,21.0,2024-02-02Z,active,yes,NaN,NaN,NaN
ditztfikm9x71ybmd0wbxp4o9,Brahima,Doukansy,Brahima,Doukansy,Male,B. Doukansy,France,7gww28djs405rfga69smki84o,Mali,d0v29nncgikdswlxpdq553zz,Midfielder,player,1999-08-21,Paris,France,7gww28djs405rfga69smki84o,188.0,right,15.0,2025-07-01Z,active,yes,67.0,NaN,NaN
eb1x7wtrnyftaizia2izfcrqi,Adi Marian,Chică-Roșă,Adi,Chica-Rosa,Male,A. Chică-Roșă,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1998-09-08,Botoșani,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,9.0,2025-07-01Z,active,yes,NaN,NaN,NaN
el1ayrhihyvl8ugctnf2e4dsl,Lucian Mihai,Dumitriu,Lucian,Dumitriu,Male,L. Dumitriu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1992-09-21,Bârlad,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,NaN,44.0,2022-06-16Z,active,yes,NaN,NaN,NaN
f2fxhj2uuzsf9om2ejh1xc79x,Ricardo José,Veiga Varzim Miranda,Ricardo José,Veiga Varzim Miranda,Male,Ricardinho,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Defender,player,1994-03-24,Barcelos,Portugal,1nbm5i9a0403zzvltn17lxinc,179.0,right,24.0,2024-06-19Z,active,yes,73.0,NaN,Ricardinho
he5kvvr8ugb73ynefc24uc45,Paul,Papp,Paul,Papp,Male,P. Papp,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1989-11-11,Dej,Romania,17oj2qrzqlkhdjvazum10sx2i,188.0,right,4.0,2023-02-16Z,active,yes,80.0,NaN,NaN
krloy4u57kce5yf9a0prsnh1,Liviu,Ciobotariu,Liviu,Ciobotariu,Male,L. Ciobotariu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1971-03-26,Ghimpați,Romania,17oj2qrzqlkhdjvazum10sx2i,188.0,NaN,NaN,2025-06-03Z,active,no,84.0,2025-09-16Z,NaN
sopbuud56e4t0y1lg7w4mxas,Mario,Gabriel,Mario,Gabriel,Male,M. Gabriel,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2006-09-27,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,23.0,2025-12-20Z,active,yes,NaN,NaN,NaN
1wldjgwjqpdd69pgf95kv2e0a,Alexandru Laurențiu,Oroian,Alexandru,Oroian,Male,A. Oroian,Romania,17oj2qrzqlkhdjvazum10sx2i,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2001-01-27,Syców,Poland,27baqb7359ywdvsxxklx1kn11,NaN,right,51.0,2021-02-20Z,active,yes,NaN,NaN,NaN
20ab99akn24uy1k65ofxrjfmd,Tiberiu Ionuț,Căpușă,Tiberiu,Capusa,Male,T. Căpușă,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1998-04-06,Bacău,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,66.0,2024-06-18Z,active,yes,NaN,NaN,NaN
25nefghplqc0mfb3wi82ffpat,Antoni,Valeri Ivanov,Antoni,Ivanov,Male,A. Ivanov,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,NaN,NaN,Midfielder,player,1995-09-11,Sofia,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,170.0,NaN,24.0,2024-06-18Z,active,yes,NaN,NaN,NaN
2d1dzkrenq3lmy4fb687cqhud,Andreas,Karo,Andreas,Karo,Male,A. Karo,Cyprus,3om8cj5nhmq1rzzkykubm5icj,NaN,NaN,Defender,player,1996-09-09,Karo,Cyprus,3om8cj5nhmq1rzzkykubm5icj,190.0,right,3.0,2025-07-08Z,active,yes,80.0,NaN,NaN
2hg61l1u7qg75wjc2671kud5g,Ianis Alexandru,Mihart,Ianis,Mihart,Male,I. Mihart,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2004-09-23,Drobeta-Turnu Severin,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,left,23.0,2024-07-26Z,active,no,NaN,2026-01-11Z,NaN
2x4rr234iv3q8qhpcd50vw2qd,Ionuț Alin,Pop,Ionut,Pop,Male,I. Pop,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,1997-08-01,Oradea,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,right,22.0,2024-01-16Z,active,yes,74.0,NaN,NaN
36l7vewwiclpvuhxeq8t55uxh,Bozhidar,Brankov Chorbadzhiyski,Bozhidar,Chorbadzhiyski,Male,B. Chorbadzhiyski,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,NaN,NaN,Defender,player,1995-08-08,Sofia,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,194.0,both,NaN,2026-01-01Z,active,yes,80.0,NaN,NaN
3vzrlfibdmee45mqun81umhw4,Ianis Alessio,Gîndilă,Ianis,Gîndila,Male,I. Gîndilă,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2006-01-16,Sibiu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,20.0,2023-07-01Z,active,yes,NaN,NaN,NaN
48ze13c1amjz5j94apbw6rnbp,Vlad Ionuț,Muțiu,Vlad,Mutiu,Male,V. Muțiu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,1995-02-02,Baia Mare,Romania,17oj2qrzqlkhdjvazum10sx2i,187.0,right,31.0,2021-06-20Z,active,yes,78.0,NaN,NaN
568t9np31z2iwbsfkissys3fu,Constantin Dragoș,Albu,Dragos,Albu,Male,D. Albu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2001-03-15,Plenița,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,13.0,2025-06-17Z,active,yes,NaN,NaN,NaN
5d7dzhm37t4e4c4zc13r8pams,Sebastian Daniel,Ritivoi,Sebastian,Ritivoi,Male,S. Ritivoi,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2009-09-28,Sibiu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,right,NaN,2025-10-24Z,active,yes,NaN,NaN,NaN
5opk1k2xm439iyjp3oghextlg,Christ,Nkama Afalna,Christ,Afalna,Male,C. Afalna,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,Attacker,player,1998-07-12,NaN,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,NaN,2026-01-13Z,active,yes,NaN,NaN,NaN
5sgg3pbp6npe6mqysfqrhiu50,Kalifa,Kujabi,Kalifa,Kujabi,Male,K. Kujabi,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2000-03-05,Abuko Sachaba,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,185.0,left,6.0,2024-08-24Z,active,yes,NaN,NaN,NaN
5wyltpfzjxddy8zybrrogjitw,Alexandru Florin,Luca,Alexandru,Luca,Male,A. Luca,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2004-04-26,Sibiu,Romania,17oj2qrzqlkhdjvazum10sx2i,181.0,NaN,33.0,2025-07-01Z,active,no,72.0,2025-07-31Z,NaN
6awyp0imfvptdrckmgytqi191,Ionuț,Stoica,Ionut,Stoica,Male,Ionuț Stoica,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1988-01-06,Râmnicu Vâlcea,Romania,17oj2qrzqlkhdjvazum10sx2i,186.0,right,4.0,2017-07-21Z,active,yes,82.0,NaN,Ionut Stoica
6d35fdvzs6tbdbadl6jqjr2wa,Marko,Gjorgjievski,Marko,Gjorgjievski,Male,M. Gjorgjievski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN,NaN,Attacker,player,2000-04-18,NaN,North Macedonia,1lesyxylc5eza0a4z87t9azcc,186.0,NaN,19.0,2025-09-08Z,active,yes,NaN,NaN,NaN
6staivcla0ulebr7wyrv1dcl,Dorinel Ionel,Munteanu,Dorinel,Munteanu,Male,D. Munteanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1968-06-25,Grădinari,Romania,17oj2qrzqlkhdjvazum10sx2i,170.0,NaN,NaN,2025-12-10Z,active,yes,NaN,NaN,NaN
6uv666myfubw9tuix6j0ujuuh,Cristian Daniel,Neguț,Cristian,Negut,Male,C. Neguț,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1995-12-09,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,176.0,right,10.0,2023-06-13Z,active,yes,NaN,NaN,NaN
7h1djldp8rn2xj8h874ol0frp,Marius Constantin,Măldărăşanu,Marius,Maldarasanu,Male,M. Măldărăşanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1975-04-19,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,181.0,NaN,NaN,2021-06-21Z,active,no,68.0,2025-12-04Z,NaN
7nazmsbyz5lg3uegmpfixhg45,Sergiu Florin,Buș,Sergiu,Bus,Male,S. Buș,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1992-11-02,Cluj-Napoca,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,NaN,11.0,2024-08-27Z,active,yes,83.0,NaN,NaN
83d5j6aghylx3c1qdr59sr5sk,Patrick,Ntim,NaN,NaN,Male,P. Ntim,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,NaN,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,2025-07-01Z,active,no,NaN,2025-07-15Z,NaN
8cfmw4e35om3402l5tjhdlm8l,Eduard Marian,Florescu,Eduard,Florescu,Male,E. Florescu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1997-06-27,Piteşti,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,left,NaN,2025-12-23Z,active,yes,NaN,NaN,NaN
8gkysmvjjqr8h548plw2m3dp0,Ioan,Barstan,Ioan,Barstan,Male,I. Barstan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2004-06-24,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,left,27.0,2025-09-08Z,active,yes,NaN,2026-06-30Z,NaN
8kcir7pcl2eckyb4wa5mj1695,Vahid,Selimović,Vahid,Selimovic,Male,V. Selimović,Luxembourg,f2r46apchse9eg3n9c9pupfs,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1997-04-03,NaN,Luxembourg,f2r46apchse9eg3n9c9pupfs,190.0,both,2.0,2024-06-18Z,active,no,75.0,2025-12-30Z,NaN
8laj2bz0hfvcyf1qkg012xped,Valentin Marian,Negru,Valentin,Negru,Male,V. Negru,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1982-09-04,Bucureşti,Romania,17oj2qrzqlkhdjvazum10sx2i,179.0,right,NaN,2025-12-06Z,active,no,74.0,2025-12-09Z,NaN
8wif7jsnn1phsr6bjb0caea51,Ionuț Ciprian,Biceanu,Ciprian,Biceanu,Male,C. Biceanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1994-02-26,Piteşti,Romania,17oj2qrzqlkhdjvazum10sx2i,184.0,NaN,29.0,2022-02-02Z,active,no,80.0,2026-01-12Z,NaN
9dlzko6w84lgxuegjv7hyraol,Cătălin Vasile,Căbuz,Catalin,Cabuz,Male,C. Căbuz,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,1996-06-18,Avrig,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,25.0,2024-06-18Z,active,yes,NaN,NaN,NaN
9ekqknv27cjm0mf6qiosjz4k5,Silviu Nicolae,Balaure,Silviu,Balaure,Male,S. Balaure,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1996-02-06,Drobeta-Turnu Severin,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,right,96.0,2021-07-01Z,active,yes,62.0,NaN,NaN
9l33oc7yat6x39w12risi6iok,Tiago,Lisboa Silva Gonçalves,Tiago,Lisboa Silva Gonçalves,Male,Tiago Gonçalves,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Defender,player,2000-08-18,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,183.0,left,15.0,2024-07-02Z,active,no,77.0,2025-07-16Z,Tiago Gonçalves
9wvppouav6gphjucs2jz7od0,Patrick,Vuc,Patrick,Vuc,Male,P. Vuc,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,2004-03-11,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,17.0,2025-06-17Z,active,yes,NaN,NaN,NaN
azd0r6oich4kligc8tk95rd91,Aurelian Ionuț,Chițu,Aurelian,Chitu,Male,A. Chițu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1991-03-25,Ţăndărei,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,left,9.0,2024-07-01Z,active,yes,80.0,NaN,NaN
b1kwnamo8skspileinfczolat,Florin,Bejan,Florin,Bejan,Male,F. Bejan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1991-03-28,Mangalia,Romania,17oj2qrzqlkhdjvazum10sx2i,186.0,right,5.0,2021-07-03Z,active,yes,75.0,NaN,NaN
b3j2iv4q3cj45hsq04by6akus,Diogo José,Branco Batista,Diogo José,Branco Batista,Male,Diogo Batista,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Midfielder,player,2000-04-21,Barreiro,Portugal,1nbm5i9a0403zzvltn17lxinc,184.0,right,21.0,2025-07-01Z,active,yes,78.0,NaN,Diogo Batista
b4zdpy8gnotnfoo2vbfp1359m,Seydou Saeed,Issah,Seydou,Issah,Male,S. Issah,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Defender,player,2000-01-11,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,16.0,2025-07-01Z,active,yes,NaN,NaN,NaN
cvsqieyrfxb6wleyi24o7v4rt,Jair,Tavares da Silva,Jair,Tavares da Silva,Male,Jair,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1994-08-03,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,194.0,right,7.0,2025-07-31Z,active,yes,71.0,NaN,Jair
dm1zwd2vb5clq5fv23df0ucd0,Răzvan,Călugăr,Razvan,Calugar,Male,R. Călugăr,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2006-04-06,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2026-01-01Z,active,yes,NaN,NaN,NaN
e6tsm7obwm1uojn2ec76c5jis,Luca Gabriel,Stancu,Luca,Stancu,Male,L. Stancu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2005-05-09,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,77.0,2025-07-01Z,active,yes,NaN,NaN,NaN
phcm76f9jlpuyr4br88i6ulm,Nana Kwame,Antwi,Nana,Antwi,Male,N. Antwi,Ghana,2q2sw72utw5gu9t5y4knckwba,Armenia,687vx665s4d88stgnq72a84k6,Defender,player,2000-08-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,180.0,NaN,30.0,2024-09-15Z,active,yes,68.0,NaN,NaN
qnsnqdqm51676zz6cn4ypjsa,Ianis,Ilie Stoica,Ianis,Stoica,Male,Ianis Stoica,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2002-12-08,București,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,right,7.0,2024-02-07Z,active,no,68.0,2025-07-28Z,NaN
ybglaa5fqm2xpubff28qra50,Kevin Andrei,Ciubotaru,Kevin,Ciubotaru,Male,K. Ciubotaru,Romania,17oj2qrzqlkhdjvazum10sx2i,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2004-02-02,Roma,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,98.0,2025-07-01Z,active,yes,NaN,NaN,NaN
12qlpqt9n61feptc3vqi816ac,Adrian Cristian,Dragoș,Adrian,Dragos,Male,A. Dragoș,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2007-04-09,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,26.0,2024-05-05Z,active,yes,NaN,NaN,NaN
1cyr142myoxmcjy0fntb5nwno,Nikola,Jelačić,Nikola,Jelacic,Male,N. Jelačić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2002-12-15,Fässberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,right,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN
21fbeekhdp97117iedmy4njzd,Marius Cătălin,Coman,Marius,Coman,Male,M. Coman,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1996-07-31,Vişeu de Sus,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,9.0,2025-08-20Z,active,yes,NaN,2026-06-30Z,NaN
2hiyhf4glh8unh2tsbb1fjx0p,Hakim Djamel,Abdallah,Hakim,Abdallah,Male,H. Abdallah,Madagascar,4pidpq12frm06h0wij6mzhhdz,France,7gww28djs405rfga69smki84o,Attacker,player,1998-01-09,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,11.0,2025-07-19Z,active,yes,NaN,NaN,NaN
2x2vwuygif3hrewgd4qtkl250,Denis Alberto Ionuț,Țăroi,Denis,Taroi,Male,D. Țăroi,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2008-04-06,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,20.0,2024-11-24Z,active,yes,NaN,NaN,NaN
33rkjsxp7zfr0e9meoj4bwmhh,Alin,Roman,Alin,Roman,Male,A. Roman,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1994-01-27,Timişoara,Romania,17oj2qrzqlkhdjvazum10sx2i,173.0,left,8.0,2025-07-01Z,active,yes,68.0,NaN,NaN
38y9d9altgf4loplpwn2ouuj8,Ime Udo,Ndon,Ime,Ndon,Male,I. Ndon,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,2003-06-08,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,173.0,NaN,NaN,2026-01-13Z,active,yes,69.0,NaN,NaN
3i0e86stnf9ar5f4xvgbr1kgl,Valentin Ionuț,Costache,Valentin,Costache,Male,V. Costache,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1998-08-02,Videle,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,right,19.0,2024-07-08Z,active,yes,72.0,NaN,NaN
4ditpannuqxjgkmgymys6voph,Sorin Nicuşor,Rădoi,Sorin,Radoi,Male,S. Rădoi,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,assistant coach,1985-06-30,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,right,NaN,2023-05-01Z,active,yes,81.0,NaN,NaN
4ketrejl0saybyzeiyf3zstsl,Dmytro,Pospelov,Dmytro,Pospelov,Male,D. Pospelov,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Defender,player,1991-10-19,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,178.0,NaN,60.0,2025-07-01Z,active,yes,74.0,NaN,NaN
5cw5v1j6k7kkbw9runbp2ick4,Luca Alessandro,Mihai,Luca,Mihai,Male,L. Mihai,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2003-10-11,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,17.0,2025-07-17Z,active,yes,NaN,NaN,NaN
5gdybb2fpdvovn1fntadcial0,Lucas Jonathan,Roșu,Lucas,Rosu,Male,L. Roșu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,2007-01-07,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-02-05Z,active,yes,NaN,NaN,NaN
71bnbnrmzuw0v3gyz0vfjwewa,Denis Lucian,Hrezdac,Denis,Hrezdac,Male,D. Hrezdac,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2001-11-03,Știuca,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,97.0,2024-08-21Z,active,yes,NaN,NaN,NaN
7im4ytyg8rgec5d6gqzagav9x,Sabahudin,Alomeroviс,Din,Alomerovic,Male,S. Alomeroviс,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN,NaN,Defender,player,1997-06-29,Skopje,North Macedonia,1lesyxylc5eza0a4z87t9azcc,173.0,left,3.0,2025-07-01Z,active,yes,64.0,NaN,NaN
8bfew6mf9m26cj07fq32uf2wa,Richard,Odada,Richard,Odada,Male,R. Odada,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2000-11-25,NaN,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,190.0,NaN,16.0,2025-09-26Z,active,yes,NaN,NaN,NaN
8czzirtqwsgyg3cm2eg70t79w,Laurențiu Constantin,Vlăsceanu,Laurentiu,Vlasceanu,Male,L. Vlăsceanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2005-05-29,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,29.0,2025-08-04Z,active,no,NaN,2026-01-04Z,NaN
8ht56oyjzouow6hxldw4xtses,Alexandru Marian,Matei,Alexandru,Matei,Male,A. Matei,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2008-01-25,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,21.0,2025-01-25Z,active,yes,NaN,NaN,NaN
8l5h7b9gs52ecgj8wul2jp2ol,Alexandru,Constantin Benga,Alexandru,Benga,Male,A. Benga,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1989-06-15,Braşov,Romania,17oj2qrzqlkhdjvazum10sx2i,189.0,right,4.0,2020-08-16Z,active,yes,83.0,NaN,NaN
8leqkk1vejnffpo6swvdabjmc,Marian,Danciu,Marian,Danciu,Male,M. Danciu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2002-04-24,Târgu Cărbunești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,37.0,2025-01-16Z,active,yes,NaN,NaN,NaN
9hpjco3stvujss5np5pkxkdzp,Adrian Dumitru,Mihalcea,Adrian,Mihalcea,Male,A. Mihalcea,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1976-05-24,Slobozia,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,NaN,NaN,2025-06-05Z,active,yes,80.0,NaN,NaN
aqmfun6cqcallrm8h7uh1suzt,Andrea Rocco,Padula,Andrea,Padula,Male,A. Padula,Romania,17oj2qrzqlkhdjvazum10sx2i,Switzerland,3bh70jgvc5mn58x0byjkuda17,Defender,player,1996-04-04,NaN,Switzerland,3bh70jgvc5mn58x0byjkuda17,183.0,right,72.0,2025-07-07Z,active,yes,73.0,NaN,NaN
awts7347fkp2yk6pc4ujw99uc,Flavius,Iacob,Flavius,Iacob,Male,F. Iacob,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2000-10-30,Hunedoara,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,13.0,2025-07-01Z,active,yes,NaN,2026-06-30Z,NaN
bp7v4n7jsoypi9cwyohnkjxwq,Andrei Cristian,Gorcea,Andrei,Gorcea,Male,A. Gorcea,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,2001-08-02,Cluj-Napoca,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,33.0,2025-01-05Z,active,yes,NaN,NaN,NaN
c1dhvs5wqxadgqxzjbzgsl1ck,Mark Alexandru Sicco,Țuțu,Mark,Tutu,Male,M. Țuțu,Romania,17oj2qrzqlkhdjvazum10sx2i,Canada,1iaoypzp6syf32cz9l15pzp7e,Defender,player,2004-01-02,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,2.0,2025-07-04Z,active,yes,NaN,2026-06-30Z,NaN
cer5yvo93jhrlm1uxt2mm51hx,Marko,Stolnik,Marko,Stolnik,Male,M. Stolnik,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Defender,player,1996-07-08,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,186.0,right,28.0,2025-09-24Z,active,yes,NaN,NaN,NaN
chyp6w003qh3bl3nft05s9fdg,David Andrei,Barbu,David,Barbu,Male,D. Barbu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2006-06-26,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,27.0,2025-09-07Z,active,yes,NaN,2026-06-30Z,NaN
cu2fv53a6h2dx1rbgfeipw1k9,Florent Grégoire,Poulolo,Florent,Poulolo,Male,F. Poulolo,Martinique,1eb70pvuqssbbg3yamdba5ie5,France,7gww28djs405rfga69smki84o,Defender,player,1997-01-02,Fort-de-France,Martinique,1eb70pvuqssbbg3yamdba5ie5,189.0,right,6.0,2024-08-09Z,active,yes,80.0,NaN,NaN
