id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,foot,shirtNumber,startDate,endDate,status,active,placeOfBirth,height,weight,knownName
2dqmby3q4qpqd9671gaulnhn8,Charlys Matheus,Lima Pontes,Charlys Matheus,Lima Pontes,Male,Charlys,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,2004-02-19,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,right,6.0,2024-07-19Z,2025-06-30Z,active,yes,Maceió,186.0,70.0,Charlys
2flhegqerwwjnt4wrzbuac48a,Christian,Kouan Oulaï,Christian,Kouan,Male,C. Kouan,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Midfielder,player,1999-12-20,Côte d'Ivoire,tin6kf561ywonqan0mettr98,right,28.0,2024-07-01Z,NaN,active,yes,Abidjan,178.0,68.0,NaN
2i281b1v07iedj24a0e6yj7dg,Aldo,Florenzi,Aldo,Florenzi,Male,A. Florenzi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2002-04-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,34.0,2021-07-01Z,NaN,active,yes,Nuoro,183.0,70.0,NaN
2ja8lbeig9ayyspk98fl8hiol,Massimiliano,Alvini,Massimiliano,Alvini,Male,M. Alvini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1970-04-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2025-03-30Z,NaN,active,yes,NaN,NaN,NaN,NaN
3yztwnrunidlqtq7hnnht92j8,Pietro,Martino,Pietro,Martino,Male,P. Martino,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1997-08-04,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,4.0,2022-07-07Z,NaN,active,yes,Modena,178.0,75.0,NaN
41gz48nq9089qnx2dkdu096qy,Manuel,Ricciardi,Manuel,Ricciardi,Male,M. Ricciardi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2000-04-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,16.0,2024-08-03Z,NaN,active,yes,Roma,184.0,75.0,NaN
4bhgk0fmac5ifkwd1dj2rgyl0,Baldovino,Cimino,Baldovino,Cimino,Male,B. Cimino,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2004-02-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,2.0,2022-01-01Z,NaN,active,yes,Sessa Aurunca,184.0,72.0,NaN
5nl1v21b7qub02ns4isz7ru8l,Mario,Gargiulo,Mario,Gargiulo,Male,M. Gargiulo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1996-03-26,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,5.0,2025-01-15Z,NaN,active,yes,Napoli,187.0,81.0,NaN
64izy1qbmq5mvms3j6ux4rqc4,Alessandro,Arioli,Alessandro,Arioli,Male,A. Arioli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2003-05-24,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,40.0,2024-07-01Z,2024-08-30Z,active,no,NaN,NaN,NaN,NaN
6k9zye6w3c57y2l5xy6wwtvro,Renato,Montagnolo,Renato,Montagnolo,Male,R. Montagnolo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,assistant coach,1990-01-08,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-07-12Z,NaN,active,yes,Catanzaro,NaN,NaN,NaN
71b4czge8d3h2snekw3mctzp,Tommaso,D'Orazio,Tommaso,D'Orazio,Male,T. D'Orazio,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1990-05-03,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,11.0,2023-07-01Z,NaN,active,yes,Guardiagrele,185.0,75.0,NaN
7e0aha85ql256tldlhp7ld0r8,Christos,Kourfalidis,Christos,Kourfalidis,Male,C. Kourfalidis,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,Midfielder,player,2002-11-11,Greece,6lpgd60z890no2v46zdecrcss,right,39.0,2024-08-01Z,NaN,active,yes,Thessaloniki,178.0,66.0,NaN
7e529xhuteq29a8cphvq8p53o,Riccardo,Ciervo,Riccardo,Ciervo,Male,R. Ciervo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2002-04-01,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,19.0,2024-07-06Z,2025-06-30Z,active,yes,NaN,190.0,70.0,NaN
7rmcivkgfqsd3pzo0ssd6cj6c,Gabriele,Baldi,Gabrielle,Baldi,Male,G. Baldi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2004-08-24,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,12.0,2024-07-13Z,NaN,active,yes,Roma,196.0,82.0,NaN
7xhfpcusnvfazocxmfhljm0ut,Simone,Mazzocchi,Simone,Mazzocchi,Male,S. Mazzocchi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1998-08-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,30.0,2023-07-22Z,2025-06-30Z,active,yes,Milano,180.0,70.0,NaN
8tw64vpghhc7m0oh7a5kof8tm,Juan Manuel,Cruz,Juan Manuel,Cruz,Male,J. Cruz,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,1999-07-19,Argentina,2vovxa97k7v7ofa85dah2xktb,right,18.0,2025-02-03Z,2025-06-30Z,active,yes,Buenos Aires,184.0,71.0,NaN
93brd927scl69bpv3whaqm4iy,Christian,Dalle Mura,Christian,Dalle Mura,Male,C. Dalle Mura,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-02-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,15.0,2024-07-12Z,NaN,active,yes,Pietrasanta,185.0,70.0,NaN
94ayk7rt8rd9loypnjydlaifp,Nicola,Belmonte,Nicola,Belmonte,Male,N. Belmonte,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,assistant coach,1987-04-15,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,NaN,2025-02-26Z,2025-03-30Z,active,no,Cosenza,183.0,75.0,NaN
9etofynkqyqfndb2ka98timsp,Andrea,Rizzo Pinna,Andrea Rizzo,Pinna,Male,A. Rizzo Pinna,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2000-01-13,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,20.0,2024-07-07Z,NaN,active,yes,Milano,180.0,71.0,NaN
9n1bhdjtj7kp8o1ref7y1d239,Luca,Strizzolo,Luca,Strizzolo,Male,L. Strizzolo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1992-04-29,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,32.0,2024-08-31Z,2025-02-03Z,active,no,Udine,188.0,83.0,NaN
a4ylgd2gsl6ccyor66y3g60np,Giacomo,Ricci,Giacomo,Ricci,Male,G. Ricci,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1996-09-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,31.0,2024-08-30Z,NaN,active,yes,Livorno,180.0,74.0,NaN
adrnn5cm7ikerpxfp7ydmkv6d,Michele,Camporese,Michele,Camporese,Male,M. Camporese,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1992-05-19,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,NaN,2024-07-01Z,2025-01-17Z,active,no,Pisa,186.0,75.0,NaN
at4qcyphs0czka27c79be3nys,Gianmarco,Begheldo,Gianmarco,Begheldo,Male,G. Begheldo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2003-05-19,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,90.0,2024-07-13Z,2025-01-07Z,active,no,NaN,183.0,70.0,NaN
aynx9h96efsfkd0l1h8r8dsd1,Luca,Garritano,Luca,Garritano,Male,L. Garritano,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1994-02-11,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,7.0,2025-01-31Z,NaN,active,yes,Cosenza,172.0,67.0,NaN
b2uznyb9b8fxsy57450mbmwru,Mohamed Ortaim,Sankoh,Mohamed,Sankoh,Male,M. Sankoh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Attacker,player,2003-10-16,Sierra Leone,7kilikg56sxc0dsd6168dr57b,right,9.0,2024-08-21Z,2025-01-02Z,active,no,Rotifunk,183.0,77.0,NaN
bfi6cd90vaeu637m9ejow1y0a,Thomas,Vettorel,Thomas,Vettorel,Male,T. Vettorel,Italy,25f2cmb2r8mk5rj92tzer6kvv,Switzerland,3bh70jgvc5mn58x0byjkuda17,Goalkeeper,player,2000-09-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,22.0,2024-07-25Z,NaN,active,yes,Feltre,190.0,78.0,NaN
bqkrn1stfc5vp2r30182sh1jo,Leonardo,De Franceschi,Leonardo,De Franceschi,Male,L. De Franceschi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2006-03-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,44.0,2025-03-28Z,NaN,active,yes,NaN,NaN,NaN,NaN
caik45rftkfgy00rug17kjc9h,Pierantonio,Tortelli,Pierantonio,Tortelli,Male,P. Tortelli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1958-02-08,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2025-02-26Z,2025-03-30Z,active,no,NaN,NaN,NaN,NaN
cepypx5vp16bg1rrvdtslk6ei,Michael,Venturi,Michael,Venturi,Male,M. Venturi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1999-01-23,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,23.0,2021-08-10Z,NaN,active,yes,Rimini,193.0,80.0,NaN
cq7dnvarqhojlg071qdrgtn2s,Leonardo,Contiero,Edoardo,Contiero,Male,L. Contiero,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2006-02-03,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,41.0,2024-08-17Z,NaN,active,yes,NaN,NaN,NaN,NaN
cqswjzlhzeuvlr3fsni32dd9m,Alessandro,Caporale,Alessandro,Caporale,Male,A. Caporale,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1995-10-28,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,17.0,2024-07-16Z,NaN,active,yes,Lecce,190.0,84.0,NaN
cuxmaqf8jbdxjen0a04mzsul1,Manuel,Marras,Manuel,Marras,Male,M. Marras,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1993-07-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,7.0,2023-08-11Z,2024-08-30Z,active,no,Genova,168.0,63.0,NaN
du4n0plsi7j7wf7e8r7425695,Bright,Gyamfi,Bright,Gyamfi,Male,B. Gyamfi,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Defender,player,1996-01-20,Ghana,2q2sw72utw5gu9t5y4knckwba,right,18.0,2024-01-18Z,2025-01-24Z,active,no,Accra,178.0,73.0,NaN
e51p3w2qvmegqgpd3xbjl5z6y,Tommaso,Fumagalli,Tommaso,Fumagalli,Male,T. Fumagalli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2000-02-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,10.0,2024-07-23Z,2025-06-30Z,active,yes,NaN,185.0,78.0,NaN
enw8vvviv3o6ojry6162buprd,Andrea,Hristov,Andrea,Hristov,Male,A. Hristov,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,NaN,NaN,Defender,player,1999-03-01,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,both,55.0,2024-07-01Z,NaN,active,yes,Sofia,192.0,80.0,NaN
ez1hmuew3awuze8h2r2ssla3u,Gabriele,Artistico,Gabriele,Artistico,Male,G. Artistico,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2002-07-14,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,90.0,2025-01-09Z,2025-06-30Z,active,yes,Roma,187.0,79.0,NaN
f0fsd9bjzcz88ksz5e5bac45w,Jahce Tyler,Novello,Jahce,Novello,Male,J. Novello,Australia,u5ieemi69z72c3bgczyy68lo,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,2004-04-18,Australia,u5ieemi69z72c3bgczyy68lo,left,36.0,2023-03-11Z,NaN,active,yes,NaN,182.0,77.0,NaN
h2c4xwvt3x9gry6wqehc0445,Alessandro,Micai,Alessandro,Micai,Male,A. Micai,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,1993-07-24,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,1.0,2023-01-02Z,NaN,active,yes,Mantova,186.0,77.0,NaN
ou8kb6vhfzke3kyy4of685pl,Filippo Lorenzo,Sgarbi,Filippo,Sgarbi,Male,F. Sgarbi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1997-12-29,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,29.0,2024-07-01Z,NaN,active,yes,Varese,191.0,78.0,NaN
102einyxbncn15sy39ax8izxm,Marco,Zaffaroni,Marco,Zaffaroni,Male,M. Zaffaroni,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1969-01-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-11-04Z,2024-12-08Z,active,no,NaN,NaN,NaN,NaN
1449yjha0fxmftvgfg5mygju2,Andrea,Giorgini,Andrea,Giorgini,Male,A. Giorgini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-04-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,30.0,2023-01-14Z,NaN,active,yes,NaN,190.0,82.0,NaN
16ttc2fnk8enwjohyitbkkyc,Renato,Halili,Renato,Halili,Male,R. Halili,Albania,17zsm8shejejls2on1ffil3op,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2007-10-25,Albania,17zsm8shejejls2on1ffil3op,right,84.0,2025-05-08Z,NaN,active,yes,NaN,183.0,NaN,NaN
1j1oenlp7me47s0m6caaunf56,Hamza,El Kaouakibi,Hamza,El Kaouakibi,Male,H. El Kaouakibi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1998-05-22,Morocco,2xdcc39z1k79pnjbtn9x31wdh,right,2.0,2024-07-01Z,NaN,active,yes,NaN,185.0,80.0,NaN
1ws0ht869egamove3h8b5ncyy,Andrea,Cagnano,Andrea,Cagnano,Male,A. Cagnano,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1998-06-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,3.0,2023-07-18Z,2025-01-31Z,active,no,Cantù,182.0,79.0,NaN
21anobc5g0wrnwos548y96i5m,Simone,Davì,Simone,Davì,Male,S. Davì,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1999-09-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,24.0,2019-08-14Z,NaN,active,yes,NaN,178.0,73.0,NaN
2502gof0z74u69fnogbt3q5n8,Daniel,Theiner,Daniel,Theiner,Male,D. Theiner,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2004-02-25,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,62.0,2024-07-01Z,2025-01-15Z,active,no,Merano,NaN,NaN,NaN
2u7gp0a8sxfe2dai91eyjcesp,Alessandro,Mallamo,Alessandro,Mallamo,Male,A. Mallamo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1999-03-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,8.0,2024-07-01Z,NaN,active,yes,NaN,174.0,70.0,NaN
2wo1jd9wvu1tomtztx40wgy5l,Andrea,Cisco,Andrea,Cisco,Male,A. Cisco,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1998-10-08,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,26.0,2023-07-07Z,2024-08-29Z,active,no,Padova,183.0,73.0,NaN
2yg14moeeejfnko8ygxcfsmzu,Federico,Valente,Federico,Valente,Male,F. Valente,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1975-07-20,Switzerland,3bh70jgvc5mn58x0byjkuda17,NaN,NaN,2023-12-04Z,2024-11-04Z,active,no,NaN,NaN,NaN,NaN
2yijk5l991mdyjprmuudq7qzu,Niklas Anton Juhana,Pyyhtiä,Niklas,Pyyhtiä,Male,N. Pyyhtiä,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Midfielder,player,2003-09-25,Finland,2u07e54v5dprsugdvddpq5ync,left,18.0,2025-01-07Z,2025-06-30Z,active,yes,Turku,188.0,84.0,NaN
329m45zgg8hn87lf6eaop7ys5,Giacomo,Poluzzi,Giacomo,Poluzzi,Male,G. Poluzzi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,1988-02-25,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,1.0,2020-08-12Z,NaN,active,yes,Bologna,184.0,74.0,NaN
35vcsoaxnz1ksklkqkns1nq39,Fabrizio,Castori,Fabrizio,Castori,Male,F. Castori,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1954-07-11,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-12-08Z,NaN,active,yes,San Severino Marche,165.0,NaN,NaN
363awzarwmmrrwaq5opubo5hx,Luca,Ceppitelli,Luca,Ceppitelli,Male,L. Ceppitelli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1989-08-11,Italy,25f2cmb2r8mk5rj92tzer6kvv,both,23.0,2024-07-05Z,NaN,active,yes,Castiglione del lago,186.0,80.0,NaN
3f0mb1k30kspq2rkt7ea6rrl6,Giacomo,Drago,Giacomo,Drago,Male,G. Drago,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2001-03-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,12.0,2023-07-01Z,2025-01-16Z,active,no,Genova,194.0,84.0,NaN
416oc3au6ldq5mvb4uihfutp1,Eugenio,Lamanna,Eugenio,Lamanna,Male,E. Lamanna,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,1989-08-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,16.0,2024-12-25Z,NaN,active,yes,Como,185.0,80.0,NaN
42kcyb3d0nlrld251epht6lsl,Salvatore Andrea,Molina,Salvatore,Molina,Male,S. Molina,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1992-01-01,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,79.0,2024-01-03Z,NaN,active,yes,Garbagnate Milanese,177.0,77.0,NaN
4azxzak64v0l752tac9df9250,Benedikt,Rottensteiner,Benedikt,Rottensteiner,Male,B. Rottensteiner,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2005-07-29,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,15.0,2023-12-25Z,NaN,active,yes,NaN,186.0,71.0,NaN
4mgitf9rt60tynlz7sllarp5g,Silvio,Merkaj,Silvio,Merkaj,Male,S. Merkaj,Albania,17zsm8shejejls2on1ffil3op,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,1997-12-04,Albania,17zsm8shejejls2on1ffil3op,right,33.0,2023-08-12Z,NaN,active,yes,NaN,NaN,NaN,NaN
534ubxcmct7m076gk9ct5xyad,Frédéric,Veseli,Frédéric,Veseli,Male,F. Veseli,Albania,17zsm8shejejls2on1ffil3op,Switzerland,3bh70jgvc5mn58x0byjkuda17,Defender,player,1992-11-20,Switzerland,3bh70jgvc5mn58x0byjkuda17,right,34.0,2025-01-05Z,NaN,active,yes,Renens,183.0,80.0,NaN
5fwrczvvy0hb6bmjom5n76y1h,Riccardo,Bocchini,Riccardo,Bocchini,Male,R. Bocchini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,assistant coach,1972-07-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-12-08Z,NaN,active,yes,NaN,NaN,NaN,NaN
5o1w5rja7rdx4if144lq8w5p1,Daniele,Casiraghi,Daniele,Casiraghi,Male,D. Casiraghi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1993-03-10,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,17.0,2019-07-04Z,NaN,active,yes,Treviglio,177.0,73.0,NaN
5ufqdsfmbmig599e9uxu6frbo,Jonas,Arlanch,Jonas,Arlanch,Male,J. Arlanch,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2007-01-08,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,29.0,2023-09-01Z,2025-04-28Z,active,no,NaN,NaN,NaN,NaN
682h6tn4797upc69g44wk4u8k,Lorenzo,Coco,Lorenzo,Coco,Male,L. Coco,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,66.0,2024-11-28Z,2025-04-28Z,active,no,NaN,NaN,NaN,NaN
6ah4ei6hq67fpguzfyzcl476y,Edoardo,Vergani,Edoardo,Vergani,Male,E. Vergani,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2001-02-06,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,63.0,2025-02-03Z,NaN,active,yes,NaN,186.0,80.0,NaN
6ddqefrp2gi07ukdcusgmpwd0,Jakob,Tschöll,Jakob,Tschöll,Male,J. Tschöll,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2006-04-25,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,22.0,2023-12-15Z,2025-04-28Z,active,no,NaN,NaN,NaN,NaN
7u5vt9rgh3sbu8lbf2ivaf622,Matteo,Rover,Matteo,Rover,Male,M. Rover,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1999-02-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,7.0,2020-08-31Z,NaN,active,yes,Motta di Livenza,186.0,78.0,NaN
82teg89zjjrm4kfdykknt7spg,Dhirar,Brik,Dhirar,Brik,Male,D. Brik,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,player,2007-10-13,Tunisia,2um1icx6ftp1auliaxyw0ou6y,right,46.0,2024-07-01Z,2025-04-28Z,active,no,NaN,183.0,NaN,NaN
8m40wao3p52gtklegqx07w7h1,Antonio,Barreca,Antonio,Barreca,Male,A. Barreca,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1995-03-18,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,3.0,2025-02-03Z,NaN,active,yes,Torino,183.0,70.0,NaN
8olrdlvme81zqpsrl8402r8b9,Andrea,Masiello,Andrea,Masiello,Male,A. Masiello,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1986-02-05,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,5.0,2022-09-05Z,NaN,active,yes,Viareggio,185.0,85.0,NaN
9c9g2havtsf29fpt5582y8ne2,Karim,Zedadka,Karim,Zedadka,Male,K. Zedadka,France,7gww28djs405rfga69smki84o,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,player,2000-06-09,France,7gww28djs405rfga69smki84o,right,11.0,2024-07-16Z,NaN,active,yes,Pertuis,182.0,67.0,NaN
a17m7mpujjh4vhi4rq95y06c4,Federico,Davi,Federico,Davi,Male,F. Davi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-04-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,14.0,2024-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
alwmvkx1f14qj3cfllij480t0,Lorenzo,Bonifacio,Lorenzo,Bonifacio,Male,L. Bonifacio,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2007-08-06,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,45.0,2024-05-09Z,2025-04-28Z,active,no,NaN,186.0,NaN,NaN
auqpa5dty33jao2f7y5qxnf11,Tommaso,Arrigoni,Tommaso,Arrigoni,Male,T. Arrigoni,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1994-02-26,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,4.0,2024-07-01Z,NaN,active,yes,Cesena,171.0,68.0,NaN
b62gjcajugddud630e9b7ptjp,Marius,Adamonis,Marius,Adamonis,Male,M. Adamonis,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,NaN,NaN,Goalkeeper,player,1997-05-13,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,right,31.0,2025-01-09Z,2025-06-30Z,active,yes,Panevėžys,187.0,80.0,NaN
c5w4sc13366rb6bqic1qx75uy,Nicola,Pietrangeli,Nicola,Pietrangeli,Male,N. Pietrangeli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2000-07-19,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,19.0,2024-07-06Z,NaN,active,yes,NaN,NaN,NaN,NaN
c8vkca2q4vypf9rwcqvkdbfxm,Luca,Belardinelli,Luca,Belardinelli,Male,L. Belardinelli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2001-03-14,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,20.0,2025-01-07Z,2025-06-30Z,active,yes,Ravenna,190.0,NaN,NaN
dbxp7s7pv0ns1qn2b4h1sa73e,Lorenzo,Lonardi,Lorenzo,Lonardi,Male,L. Lonardi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1999-02-10,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,77.0,2023-07-01Z,2024-08-21Z,active,no,Verona,NaN,NaN,NaN
di5eoetl4igflsync7ft33ok4,Alessandro,Vimercati,Alessandro,Vimercati,Male,A. Vimercati,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-09-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,68.0,2024-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
