id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,shortFirstName,shortLastName,placeOfBirth,foot,endDate,secondNationality,secondNationalityId,knownName
4oyhm7pqtbpe805qcyioudwyc,Gergő,Végh,Male,G. Végh,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2006-02-04,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4ryug5pbklraoj9dj5gygyju1,Tsotne,Kapanadze,Male,T. Kapanadze,Georgia,55mqz7j6585f2jhgfhn62lomr,Defender,player,2001-08-30,Georgia,55mqz7j6585f2jhgfhn62lomr,NaN,NaN,22.0,2025-01-31Z,active,yes,Tsotne,Kapanadze,NaN,NaN,NaN,NaN,NaN,NaN
5keqk0houbdodlxfqfyldzhuc,Máté,Tuboly,Male,M. Tuboly,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2004-09-15,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,68.0,2024-06-15Z,active,yes,Máté,Tuboly,NaN,NaN,NaN,NaN,NaN,NaN
6sv1kkdj3enr557ysc4ou8tn8,Abdoulaye,Gueye,Male,A. Gueye,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,2005-05-23,Senegal,6hhqyhr5cwq2pfprlazyposyk,184.0,NaN,11.0,2025-07-08Z,active,yes,Abdoulaye,Gueye,NaN,NaN,NaN,NaN,NaN,NaN
6vy1ci3n2w1hkep8jrxytujca,Ivan,Dolček,Male,I. Dolček,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2000-04-24,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,76.0,NaN,2026-01-01Z,active,no,Ivan,Dolcek,Koprivnica,left,NaN,NaN,NaN,NaN
7eb63uicl4nz306gu2pmpry1g,Pablo Antonio,Ortíz Cabezas,Male,P. Ortíz,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,2000-06-08,Colombia,6kby8rq1p01fg5ds38ckkrcs5,190.0,70.0,NaN,2026-01-01Z,active,no,Pablo,Ortíz,Tumaco,left,NaN,NaN,NaN,NaN
7kqz981gp8u8qi7rhpx4723o4,Nathan,Udvaros,Male,N. Udvaros,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2007-09-17,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,36.0,2025-07-01Z,active,yes,Nathan,Udvaros,NaN,NaN,NaN,NaN,NaN,NaN
88060wrfsohc3ia02m5dbvwno,Rabby,Mateta Pepa,Male,R. Mateta,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2006-07-13,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,2025-08-18Z,active,yes,Rabby,Mateta,NaN,NaN,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
8cdx7aahcxg6be4qiwv9vq39w,Viktor,Đukanović,Male,V. Đukanović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2004-01-29,Montenegro,1411jebgwo2ja1erogsq81lg9,184.0,70.0,7.0,2025-02-04Z,active,yes,Viktor,Djukanovic,Nikšić,right,2025-12-31Z,NaN,NaN,NaN
94jrke415kozp4ycyq1u5ysbt,Filip,Blažek,Male,F. Blažek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1998-03-11,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,84.0,NaN,2025-08-22Z,active,yes,Filip,Blazek,Skalica,right,NaN,NaN,NaN,NaN
9u1gind4axt2ed71lgxhzjeac,Rhyan,Modesto de Oliveira Galdino,Male,Rhyan,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,2003-01-08,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,183.0,73.0,49.0,2025-02-07Z,active,yes,Rhyan,Modesto de Oliveira Galdino,NaN,left,NaN,NaN,NaN,Rhyan
a9i6blufzaamts0utvmkg3m22,Samsondin,Ouro,Male,S. Ouro,Togo,3jiuckrqd0zejkm452st5dyq7,Midfielder,player,2000-03-02,Germany,36min0qztu8eydwvpv8t1is0m,183.0,NaN,NaN,2025-08-31Z,active,yes,Samsondin,Ouro,Reutlingen,NaN,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN
afpfpzu7m5r32yj1qwb82j8yc,Stefan,Đukanović,Male,S. Đukanović,Montenegro,1411jebgwo2ja1erogsq81lg9,Midfielder,player,2006-06-23,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,NaN,2025-07-15Z,active,yes,Stefan,Djukanovic,Nikšić,NaN,2026-06-30Z,NaN,NaN,NaN
akxxpzh5qg4vk2na0xl3k9fdg,Martin,Jenčuš,Male,M. Jenčuš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2008-01-03,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,38.0,2024-11-09Z,active,yes,Martin,Jencus,NaN,NaN,NaN,NaN,NaN,NaN
b1o797a6gxohsv92t5ebw4lm2,Alejandro,Méndez García,Male,Alex Méndez,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2001-07-28,Spain,49ih1pwv3ahshdf8uzrimi54c,180.0,68.0,18.0,2023-01-25Z,active,yes,Alejandro,Méndez García,NaN,NaN,NaN,NaN,NaN,Alex Méndez
c6g6kz1nm08mfoe1e4wec8i96,Branislav,Fodrek,Male,B. Fodrek,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,coach,1981-02-05,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,80.0,NaN,2024-11-27Z,active,yes,Branislav,Fodrek,Pozsony,NaN,NaN,NaN,NaN,NaN
cb4mvicklqdxsd06l0zx091xw,Adam,Lami,Male,A. Lami,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2006-10-28,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
crvofju9cmj8k5fy6bcz3ntw4,Denis,Valko,Male,D. Valko,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2007-04-13,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,15.0,2025-04-25Z,active,yes,Denis,Valko,NaN,NaN,NaN,NaN,NaN,NaN
cytkx7gkged2di00mjulgrqvp,Klemen,Nemanič,Male,K. Nemanič,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Defender,player,1996-11-07,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,194.0,91.0,81.0,2025-07-01Z,active,yes,Klemen,Nemanic,Ljubljana,left,NaN,NaN,NaN,NaN
cz8rap253qxnx9l0g1sj6dt04,Mahmudu,Bajo,Male,M. Bajo,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Midfielder,player,2004-08-15,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,178.0,NaN,6.0,2024-07-18Z,active,no,Mahmudu,Bajo,NaN,NaN,2025-08-01Z,NaN,NaN,NaN
d4k91nsdr9bwivcca7naey8lw,Levente,Bősze,Male,L. Bősze,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2009-02-18,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,13.0,2024-07-10Z,active,yes,Levente,Bosze,NaN,NaN,NaN,NaN,NaN,NaN
d88612l7fy9dvqe1kulqevlsk,Vasilios,Kaltsas,Male,V. Kaltsas,Greece,6lpgd60z890no2v46zdecrcss,Goalkeeper,player,2007-03-25,Greece,6lpgd60z890no2v46zdecrcss,195.0,NaN,30.0,2024-02-09Z,active,yes,Vasilios,Kaltsas,NaN,right,NaN,NaN,NaN,NaN
dphjm5otyeb004tqonfbbct90,Damir,Redzic,Male,D. Redzic,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Attacker,player,2003-03-23,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,23.0,2024-07-03Z,active,yes,Damir,Redzic,NaN,NaN,NaN,NaN,NaN,NaN
du28e4s5bntunw94yzsdh4acq,Matej,Trusa,Male,M. Trusa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2000-11-29,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,74.0,46.0,2023-07-01Z,active,yes,Matej,Trusa,NaN,NaN,NaN,NaN,NaN,NaN
efjgg9qr6hdz7ufboa07q5y7e,Ammar Manaf,Ramadan,Male,Ammar Ramadan,Syria,3tsnzfkszhsktmhsmwar1tvp8,Attacker,player,2001-01-05,Syria,3tsnzfkszhsktmhsmwar1tvp8,174.0,72.0,10.0,2022-07-23Z,active,yes,Ammar Manaf,Ramadan,Edlib,left,NaN,NaN,NaN,Ammar Ramadan
eje5qbwydavpurasv1lyw5xih,Aleksandar,Popović,Male,A. Popović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,1999-09-27,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,41.0,2023-07-28Z,active,yes,Aleksandar,Popovic,NaN,NaN,NaN,NaN,NaN,NaN
eo2n0d4wvaszqhhsyjnbd64no,Alioune,Sylla,Male,A. Sylla,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,2003-01-25,Senegal,6hhqyhr5cwq2pfprlazyposyk,180.0,NaN,19.0,2025-02-07Z,active,yes,Alioune,Sylla,NaN,both,NaN,NaN,NaN,NaN
m7jophwr7f9kh85a13qp9xw5,Andreas,Gruber,Male,A. Gruber,Austria,hcs1bd49qliqqity6o268jyt,Attacker,player,1995-06-29,Austria,hcs1bd49qliqqity6o268jyt,174.0,70.0,9.0,2025-07-01Z,active,yes,Andreas,Gruber,Mürzzuschlag,left,NaN,NaN,NaN,NaN
1nsjai8x5bgirx5rufesjptjp,Milan,Dimun,Male,M. Dimun,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-09-19,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,76.0,7.0,2025-07-01Z,active,yes,Milan,Dimun,Košice,NaN,NaN,NaN,NaN,NaN
2dfqwqvlzmlog1qjlctpemo7o,Milan Šimon,Rehuš,Male,M. Rehuš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-08-04,Slovakia,7dybe8679n9bgyrcxi383pq3y,169.0,NaN,77.0,2025-07-01Z,active,yes,Milan,Rehus,NaN,left,NaN,NaN,NaN,NaN
2vd1l32utzuzqlnbu4h6toh9m,Roman,Čerepkai,Male,R. Čerepkai,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2002-04-06,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,9.0,2025-01-25Z,active,yes,Roman,Cerepkai,NaN,NaN,NaN,NaN,NaN,NaN
3omfml7tlou0vbo3ykbgtlwr8,Tomas,Handlovic,Male,T. Handlovic,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2007-02-09,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2024-07-01Z,active,yes,Tomas,Handlovic,NaN,NaN,NaN,NaN,NaN,NaN
3p9zmquh318g7ovqgmpuryllh,Dominik,Kružliak,Male,D. Kružliak,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1996-07-10,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,79.0,24.0,2023-09-08Z,active,yes,Dominik,Kruzliak,NaN,NaN,NaN,NaN,NaN,NaN
4bs5o1anoabt0vzq829grlqtw,Mario,Pejazić,Male,M. Pejazić,Austria,hcs1bd49qliqqity6o268jyt,Defender,player,2005-01-21,Austria,hcs1bd49qliqqity6o268jyt,179.0,NaN,6.0,2025-07-01Z,active,yes,Mario,Pejazic,Steyr,left,NaN,NaN,NaN,NaN
4exxis3zo1rw0emqjarlykvyt,Matej,Jakúbek,Male,M. Jakúbek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1995-01-19,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,76.0,13.0,2025-02-01Z,active,yes,Matej,Jakúbek,Považská Bystrica,right,NaN,NaN,NaN,NaN
4fa1s0rx15g8zc72qnm1vohd5,Osman Jovan,Kakay,Male,O. Kakay,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Defender,player,1997-08-25,England,1fk5l4hkqk12i7zske6mcqju6,180.0,66.0,29.0,2025-07-16Z,active,yes,Osman,Kakay,London,right,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
4wtqt7xl5c6mltvdxjc5oo0k5,Roman,Skuhravý,Male,R. Skuhravý,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1975-01-06,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,81.0,NaN,2024-09-27Z,active,yes,Roman,Skuhravy,NaN,right,NaN,NaN,NaN,NaN
5tket1yu8f6hhpi64ocmvvifo,Filip,Kalanin,Male,F. Kalanin,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2009-08-30,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,30.0,2025-07-01Z,active,yes,Filip,Kalanin,NaN,NaN,NaN,NaN,NaN,NaN
5uol2o9loy0ihrff17kz2ux2h,Marek,Zsigmund,Male,M. Zsigmund,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1997-04-20,Slovakia,7dybe8679n9bgyrcxi383pq3y,174.0,76.0,25.0,2024-06-15Z,active,yes,Marek,Zsigmund,Ružomberok,NaN,NaN,NaN,NaN,NaN
5vjwd4k2n8vpnb84g2wi15nu1,Ján,Krivák,Male,J. Krivák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1993-11-10,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,78.0,20.0,2022-07-01Z,active,yes,Ján,Krivák,Vranov nad Topľou,right,NaN,NaN,NaN,NaN
5wyuw013si213wc4hogdngjmy,Adam,Goljan,Male,A. Goljan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2001-04-15,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,19.0,2025-07-01Z,active,yes,Adam,Goljan,NaN,NaN,NaN,NaN,NaN,NaN
6s10z97elkdywexo91oyjmvx0,Vladimir,Perišić,Male,V. Perišić,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2004-08-26,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,87.0,2025-07-09Z,active,yes,Vladimir,Perisic,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
6um29l0f5fkk73if6g76mc1k9,Dávid,Šípoš,Male,D. Šípoš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1998-08-14,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,73.0,1.0,2024-06-21Z,active,yes,Dávid,Sípos,Topoľčany,NaN,NaN,NaN,NaN,NaN
7upoddkjyfaxts7xa5908b504,Michal,Domik,Male,M. Domik,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-03-28,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,16.0,2025-02-14Z,active,yes,Michal,Domik,NaN,NaN,NaN,NaN,NaN,NaN
88m1d6wwdft7cxtbg0fn77w15,Matej,Madleňák,Male,M. Madleňák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1999-02-07,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,75.0,23.0,2025-07-01Z,active,yes,Matej,Madlenák,NaN,NaN,NaN,NaN,NaN,NaN
95aokv8dk9sj9uq57k7t7po15,Daniel,Magda,Male,D. Magda,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1997-11-25,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,80.0,21.0,2024-06-15Z,active,yes,Daniel,Magda,Prešov,right,NaN,NaN,NaN,NaN
9kmmlvfxro0meb5tngkoc3nkk,Miroslav,Sovič,Male,M. Sovič,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2004-05-12,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,15.0,2025-01-01Z,active,yes,Miroslav,Sovic,NaN,NaN,NaN,NaN,NaN,NaN
ayyvfu297dt8eyfz8hsao6044,Erlantz,Palacín Alfonso,Male,Erlantz Palacín,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2003-02-10,Spain,49ih1pwv3ahshdf8uzrimi54c,183.0,NaN,2.0,2025-07-01Z,active,yes,Erlantz,Palacín,Galdakao,right,NaN,NaN,NaN,NaN
bhcspf4ywysgcdou5zxqp7q3t,Zyen,Thyfearious Jones,Male,Z. Jones,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2000-08-25,USA,7hr2f89v44y65dyu9k92vprwn,181.0,72.0,10.0,2024-01-19Z,active,yes,Zyen,Jones,Clarkston,left,NaN,NaN,NaN,NaN
c48bc2einekwfyew18c0zqf6y,Karlo,Miljanič,Male,K. Miljanič,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2002-01-02,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,27.0,2024-06-24Z,active,yes,Karlo,Miljanic,Vinkovci,NaN,NaN,NaN,NaN,NaN
ccqnvvzi7538l36j7soqk1gk4,Mario,Rabatin,Male,M. Rabatin,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2008-01-05,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cct8et1uoe33plxks4xicyln8,Dárius,Vašičkanin,Male,D. Vašičkanin,Slovakia,7dybe8679n9bgyrcxi383pq3y,Unknown,player,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d7qnv5jqvy89ptfbuavesrr4k,Jakub,Jakubko,Male,J. Jakubko,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-08-24,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,5.0,2024-07-01Z,active,no,Jakub,Jakubko,NaN,NaN,2025-08-19Z,NaN,NaN,NaN
dr4dfbnqn7p2gr1t282nhr02c,Juraj,Teplan,Male,J. Teplan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2002-07-07,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-09Z,active,yes,Juraj,Teplan,NaN,NaN,NaN,NaN,NaN,NaN
e05t9j6pmt4j5dobxo7gtb6xh,Matúš,Kira,Male,M. Kira,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1994-10-10,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,80.0,22.0,2022-07-01Z,active,yes,Matús,Kira,Košice,NaN,NaN,NaN,NaN,NaN
e0rj8gdbkvmhcgnf7ogszvrze,Emilian,Metu,Male,E. Metu,Austria,hcs1bd49qliqqity6o268jyt,Midfielder,player,2003-04-18,Austria,hcs1bd49qliqqity6o268jyt,191.0,70.0,31.0,2025-07-17Z,active,yes,Emilian,Metu,Wiener Neustadt,left,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN
e682lrnq4i6espsj0wmybyesq,Mátyás,Kovács,Male,M. Kovács,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2003-07-07,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,17.0,2025-08-04Z,active,yes,Mátyás,Kovács,NaN,NaN,2026-06-30Z,NaN,NaN,Mátyás Kovács
efzj62gq6dj8lxaew8rxf24gk,Dominík,Veselý,Male,D. Veselý,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-01-16,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,90.0,2025-07-01Z,active,yes,Dominík,Vesely,NaN,NaN,NaN,NaN,NaN,NaN
elj30r95td06j5bwae2yxewpg,Amadou,Haidara,Male,A. Haidara,Senegal,6hhqyhr5cwq2pfprlazyposyk,Defender,player,2004-08-27,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,NaN,2025-09-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tbbthwwwpfkm7luezvil0no5,Dávid,Gallovič,Male,D. Gallovič,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-04-23,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,8.0,2021-07-01Z,active,yes,Dávid,Gallovic,NaN,NaN,NaN,NaN,NaN,NaN
269h5oycdn2yy8ndlg0xbu7vu,Stefan,Škrbo,Male,S. Škrbo,Austria,hcs1bd49qliqqity6o268jyt,Midfielder,player,2001-01-23,Austria,hcs1bd49qliqqity6o268jyt,176.0,NaN,7.0,2025-07-01Z,active,yes,Stefan,Skrbo,NaN,NaN,NaN,NaN,NaN,NaN
2jvbo8qpcd0ror8hvqdtkafh1,Martin,Mikovič,Male,M. Mikovič,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1990-09-12,Slovakia,7dybe8679n9bgyrcxi383pq3y,168.0,67.0,29.0,2025-01-01Z,active,yes,Martin,Mikovic,Trnava,NaN,NaN,NaN,NaN,NaN
37kdms01y82ssm7arh4i56ml1,Roman,Procházka,Male,R. Procházka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1989-03-14,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,76.0,6.0,2021-07-01Z,active,yes,Roman,Procházka,Trnava,right,NaN,NaN,NaN,NaN
4je5qxn65q08ollwl53x6zfca,Abdulrahman,Taiwo,Male,A. Taiwo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1998-08-05,Nigeria,63pvdwrsiq5b07mzi8igqei9p,185.0,NaN,NaN,2025-09-06Z,active,yes,Abdulrahman,Taiwo,Lagos,NaN,2026-06-30Z,NaN,NaN,NaN
4s2x327i20p6hm0fwo8fgges,Filip,Trello,Male,F. Trello,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2007-01-28,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,20.0,2024-08-07Z,active,yes,Filip,Trello,NaN,NaN,NaN,NaN,NaN,NaN
53x5oslkqc22k95dl9yzfiqne,Roko,Jureškin,Male,R. Jureškin,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2000-09-29,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,3.0,2024-09-13Z,active,yes,Roko,Jureskin,NaN,NaN,NaN,NaN,NaN,NaN
5c9mr875hob9e1m8e9lhe7mqx,Martin,Vantruba,Male,M. Vantruba,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1998-02-07,Slovakia,7dybe8679n9bgyrcxi383pq3y,196.0,90.0,72.0,2022-07-01Z,active,yes,Martin,Vantruba,Trnava,right,NaN,NaN,NaN,NaN
5qwergu94zpb6wglhk008qbro,Idjessi Yethro,Metsoko,Male,I. Metsoko,Togo,3jiuckrqd0zejkm452st5dyq7,Attacker,player,2002-03-14,France,7gww28djs405rfga69smki84o,NaN,NaN,93.0,2025-06-15Z,active,yes,Idjessi,Metsoko,NaN,NaN,2025-12-31Z,France,7gww28djs405rfga69smki84o,NaN
6afxu9qxcnbhgv8dn7apkgaqy,Timotej,Kudlička,Male,T. Kudlička,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-08-19,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,19.0,2025-07-04Z,active,yes,Timotej,Kudlicka,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
76c6kd9bgphgw68z4wwoy1fdg,Dávid,Bukovský,Male,D. Bukovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2007-08-27,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,22.0,2024-07-24Z,active,yes,Dávid,Bukovsky,NaN,NaN,NaN,NaN,NaN,NaN
7ajpbuluuj3qhbe2fy0zmaz56,Giorgi,Moistsrapishvili,Male,G. Moistsrapishvili,Georgia,55mqz7j6585f2jhgfhn62lomr,Midfielder,player,2001-09-29,Georgia,55mqz7j6585f2jhgfhn62lomr,183.0,NaN,28.0,2025-06-25Z,active,yes,Giorgi,Moistsrapishvili,Poti,right,NaN,NaN,NaN,NaN
7fjouk68ko4vy0qcz6fs0wl0q,Denys,Taraduda,Male,D. Taraduda,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,2000-08-17,Ukraine,315w6fk6umfzf4qvba3t55u61,186.0,78.0,44.0,2025-07-01Z,active,yes,Denys,Taraduda,Boikivske,NaN,NaN,NaN,NaN,NaN
81ew6ob155tml2iekt6z1dwfe,Cédric,Badolo,Male,C. Badolo,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Midfielder,player,1998-11-04,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,178.0,72.0,88.0,2025-01-28Z,active,yes,Cédric,Badolo,Ouagadougou,right,NaN,NaN,NaN,NaN
85gvgl3l7qbx81dqeube4z561,Hilary,Chukwah Gong,Male,H. Gong,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,1998-10-10,Nigeria,63pvdwrsiq5b07mzi8igqei9p,169.0,72.0,18.0,2025-07-01Z,active,yes,Hilary,Gong,Zawan,right,NaN,NaN,NaN,NaN
85jw7q58nuiekjl7snvmkjyp6,Patrick Emeka,Nwadike,Male,P. Nwadike,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1998-08-29,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,87.0,2.0,2025-07-01Z,active,yes,Patrick,Nwadike,NaN,right,NaN,NaN,NaN,NaN
8aafj44ljp6uds7sy7v8o9j3d,Michal,Tomič,Male,M. Tomič,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1999-03-30,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,73.0,27.0,2025-06-23Z,active,yes,Michal,Tomic,Myjava,right,NaN,NaN,NaN,NaN
94ur977ld30j48js3hk6x2cr8,Luka,Khorkheli,Male,L. Khorkheli,Georgia,55mqz7j6585f2jhgfhn62lomr,Midfielder,player,2000-01-31,Georgia,55mqz7j6585f2jhgfhn62lomr,NaN,NaN,NaN,2025-09-06Z,active,yes,Luka,Khorkheli,NaN,NaN,NaN,NaN,NaN,Luka Khorkheli
9nf6sppqywgsvrzrg99xaq76d,Miloš,Kratochvíl,Male,M. Kratochvíl,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1996-04-26,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,79.0,14.0,2024-07-03Z,active,yes,Milos,Kratochvíl,NaN,right,NaN,NaN,NaN,NaN
9nrps1br9mhbl7huhbuldlyvp,Michal,Ščasný,Male,M. Ščasný,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1978-08-19,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,75.0,NaN,2025-06-06Z,active,yes,Michal,Scasny,Prague,NaN,NaN,NaN,NaN,NaN
