id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,height,foot,endDate,secondNationality,secondNationalityId,placeOfBirth,knownName,weight
3x1jzielwjcb458wbg66zocx6,Aaro,Salonen,NaN,NaN,Male,A. Salonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2004-06-21,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-04-15Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50pntfz4g78co2q68kno332z9,Jasse Sakari,Tuominen,Jasse,Tuominen,Male,J. Tuominen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1995-11-12,Finland,2u07e54v5dprsugdvddpq5ync,9.0,2025-03-05Z,active,yes,187.0,right,NaN,NaN,NaN,Lahti,NaN,74.0
524qf48twiwfk14oxmwsxj2tw,Christian Dimitri,Legbo Ouguehi,Dimitri,Legbo,Male,D. Legbo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2001-08-30,Côte d'Ivoire,tin6kf561ywonqan0mettr98,6.0,2023-02-11Z,active,yes,172.0,NaN,NaN,NaN,NaN,NaN,NaN,63.0
53kd57a8pwjno3l6cou3nexn9,Juuso,Hämäläinen,Juuso,Hämäläinen,Male,J. Hämäläinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1993-12-08,Finland,2u07e54v5dprsugdvddpq5ync,3.0,2019-01-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5456c5grdfff6xddie3yb4r9w,Emil,Liljeström,Emil,Liljestrom,Male,E. Liljeström,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2007-02-03,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-08-30Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
568l8kl9ejau7hiaos3xwh0tm,Julius Mikael,Tauriainen,Julius,Tauriainen,Male,J. Tauriainen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-04-18,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-08-12Z,active,yes,175.0,right,NaN,NaN,NaN,NaN,NaN,74.0
5fvzbq3mstt7eatkjpodbvpm2,Jean Fiacre,Kouamé Botué,Jean,Botué,Male,J. Botué,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Attacker,player,2002-08-07,Côte d'Ivoire,tin6kf561ywonqan0mettr98,11.0,2024-02-10Z,active,yes,184.0,NaN,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Abidjan,NaN,70.0
5hkcvpt8l2qjwovhon9wuo0es,Asse Alain,Guei,Alain,Guei,Male,A. Guei,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2005-02-15,Côte d'Ivoire,tin6kf561ywonqan0mettr98,26.0,2025-01-16Z,active,no,NaN,NaN,2025-08-07Z,NaN,NaN,NaN,NaN,NaN
745o01tye5td31hfcargzd3is,Joona,Hämäläinen,Joona,Hämäläinen,Male,J. Hämäläinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-06-26,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7ec1jwpy38whhg2waxpq3af4k,Ramiro,Muñoz Calvo,Ramiro,Munoz Calvo,Male,Ramiro Muñoz,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,assistant coach,1994-02-10,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,2022-07-24Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,Ramiro Munoz,NaN
7oxxp38dxp40lby1kwg4xpn56,Eetu,Huuhtanen,Eetu,Huuhtanen,Male,E. Huuhtanen,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2003-01-31,Finland,2u07e54v5dprsugdvddpq5ync,1.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8g3a6qtlb0xy12ntska7n8phw,Otto,Eloluoto,Otto,Eloluoto,Male,O. Eloluoto,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2008-03-10,Finland,2u07e54v5dprsugdvddpq5ync,18.0,2024-10-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8onvzjjy14ub1ackhyube0xqt,Lauri,Hakanen,NaN,NaN,Male,L. Hakanen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,assistant coach,1985-05-23,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-02-10Z,active,yes,NaN,NaN,NaN,NaN,NaN,Vihti,NaN,NaN
8r2wo4sh46kxmwos8wy8ugdg4,Tino,Kangasaho,Tino,Kangasaho,Male,T. Kangasaho,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2006-03-09,Finland,2u07e54v5dprsugdvddpq5ync,13.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91c1ud1vk02de6uexycm07ml0,Thomas,Lahdensuo,Thomas,Lahdensuo,Male,T. Lahdensuo,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2005-06-08,Finland,2u07e54v5dprsugdvddpq5ync,14.0,2024-01-01Z,active,no,NaN,NaN,2025-08-14Z,NaN,NaN,NaN,NaN,NaN
9618hk1lq7i6see347k7plkyy,Momodou,Sarr,Momodou,Sarr,Male,M. Sarr,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2000-03-31,Finland,2u07e54v5dprsugdvddpq5ync,20.0,2025-04-01Z,active,yes,NaN,NaN,2025-12-31Z,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,NaN,NaN,NaN
98u2encce9933qd4y2kukej85,Bart,Straalman,Bart,Straalman,Male,B. Straalman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1996-08-22,Netherlands,6hzi5pltnz67q4la8yli9qfv6,16.0,2024-08-07Z,active,yes,193.0,right,NaN,NaN,NaN,Winterswijk,NaN,74.0
9wpb7yiz7zdsb7bj70ornyfis,Joonas,Kekarainen,Joonas,Kekarainen,Male,J. Kekarainen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-05-03,Finland,2u07e54v5dprsugdvddpq5ync,25.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a9234jafv17dcvbu54expih91,Eddie Albin Alexander,Granlund,Albin,Granlund,Male,A. Granlund,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1989-09-01,Finland,2u07e54v5dprsugdvddpq5ync,5.0,2024-01-01Z,active,yes,175.0,right,NaN,NaN,NaN,Parainen,NaN,73.0
arxu3yjspsjmmobkj92c79ze2,Jussi,Niska,Jussi,Niska,Male,J. Niska,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-08-15,Finland,2u07e54v5dprsugdvddpq5ync,2.0,2021-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bav07h3g8ygnek9u9jhedplh,Iiro,Järvinen,Iiro,Järvinen,Male,I. Järvinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1996-11-03,Finland,2u07e54v5dprsugdvddpq5ync,19.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
blpuer75h5lh9a9fnsx1rsdzp,Vesa-Pekka,Vasara,Vesa,Vasara,Male,V. Vasara,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1976-08-16,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bwn0e8pjrikjcpold20o2os2c,Antoin Loic,Essomba Bikoula,Antoin,Essomba,Male,A. Essomba,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,2003-12-01,Cameroon,4eb9feio6u267dd1jcwaf38mt,23.0,2025-01-16Z,active,yes,177.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c0ijcsbmjfnl0ldvkzqthz0iy,Seth,Saarinen,Seth,Saarinen,Male,S. Saarinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-05-05,Finland,2u07e54v5dprsugdvddpq5ync,27.0,2025-07-31Z,active,yes,180.0,NaN,NaN,Switzerland,3bh70jgvc5mn58x0byjkuda17,NaN,NaN,NaN
c1f7vp2u7fndbs1q67yhze1hw,Axel,Kouame,Axel,Kouame,Male,A. Kouame,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2003-10-14,Côte d'Ivoire,tin6kf561ywonqan0mettr98,28.0,2023-08-11Z,active,no,NaN,NaN,2025-08-29Z,NaN,NaN,NaN,NaN,NaN
c90jak72lerrxc3kpo73cupsk,Bismark,Ampofo,Bismark,Ampofo,Male,B. Ampofo,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2002-08-04,Ghana,2q2sw72utw5gu9t5y4knckwba,17.0,2023-04-14Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d2tr2mopsk225739f7xlc12ei,Väinö,Vehkonen,Väinö,Vehkonen,Male,V. Vehkonen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-07-23,Finland,2u07e54v5dprsugdvddpq5ync,4.0,2025-01-03Z,active,yes,NaN,left,NaN,NaN,NaN,NaN,NaN,NaN
d34pugygez0vtpx1t8p5bnq0a,Sami,Sipola,Sami,Sipola,Male,S. Sipola,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-12-25,Finland,2u07e54v5dprsugdvddpq5ync,24.0,2025-01-03Z,active,no,NaN,NaN,2025-08-03Z,NaN,NaN,NaN,NaN,NaN
d39zrjj1sao1lkkzief35sctl,Florian,Krebs,Florian,Krebs,Male,F. Krebs,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1999-02-04,Germany,36min0qztu8eydwvpv8t1is0m,10.0,2024-01-01Z,active,yes,188.0,right,NaN,NaN,NaN,Berlin,NaN,71.0
dlxtr9p8d7k733qhpq9qyydey,Johannes,Yli-Kokko,Johannes,Yli-Kokko,Male,J. Yli-Kokko,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2001-08-24,Finland,2u07e54v5dprsugdvddpq5ync,8.0,2024-07-18Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dnq2bl3taj29pc6r37vv7c416,Viktor,Johansson,Viktor,Johansson,Male,V. Johansson,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2002-08-05,Finland,2u07e54v5dprsugdvddpq5ync,31.0,2025-06-26Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dyi3i9pnropxxs4omzzit4b2s,Joel,Asikainen,Joel,Asikainen,Male,J. Asikainen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2007-01-20,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38b94pyeuduolezhjx34wymfo,Rudi,Vikström,Rudi,Vikström,Male,R. Vikström,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2007-07-18,Finland,2u07e54v5dprsugdvddpq5ync,15.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3bu3igsdqg8atj5pailbof76c,Oliver,Kangaslahti,Oliver,Kangaslahti,Male,O. Kangaslahti,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2000-05-01,Finland,2u07e54v5dprsugdvddpq5ync,20.0,2025-01-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3cmp95fpjtqoc5njb5p7c9g8a,Hans Erik,Gunnarsson,Erik,Gunnarsson,Male,E. Gunnarsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1999-02-08,Sweden,1z6l2c33w2kyz9rdefs1d68nb,3.0,2025-01-31Z,active,yes,183.0,NaN,NaN,NaN,NaN,NaN,NaN,86.0
3tghlj82y0zzojxphfc1wrehg,Ludvig,Nyman,Ludvig,Nyman,Male,L. Nyman,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2007-06-26,Finland,2u07e54v5dprsugdvddpq5ync,17.0,2023-06-01Z,active,no,NaN,NaN,2025-06-08Z,NaN,NaN,NaN,NaN,NaN
4ukpzzpqnh7u40cdefmzrmpd5,Niklas,Vidjeskog,Niklas,Vidjeskog,Male,N. Vidjeskog,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1969-02-24,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2023-11-04Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4y7niu1b8drpeccb84s2e9wwl,Sergey,Eremenko,Sergey,Eremenko,Male,S. Eremenko,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1999-01-06,Russia,7kfg68kh6n16fs4ap3xjiudr,10.0,2023-03-08Z,active,yes,182.0,right,NaN,Russia,7kfg68kh6n16fs4ap3xjiudr,Rostov-na-Donu,NaN,82.0
5pa2n5nlvexr6z7nu65uz0qqy,Robin,Polley,Robin,Polley,Male,R. Polley,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1998-12-28,Netherlands,6hzi5pltnz67q4la8yli9qfv6,40.0,2025-01-09Z,active,yes,183.0,right,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Rotterdam,NaN,74.0
657y5ka6m6dxylqc61h4yg6c4,Akanbi Saheed,Jimoh,Saheed,Jimoh,Male,S. Jimoh,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Goalkeeper,player,2005-06-26,Nigeria,63pvdwrsiq5b07mzi8igqei9p,25.0,2025-02-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66zsjkvxs4cbh9u63hk273t1x,Miguel José,Oliveira Silva Santos,Miguel José,Oliveira Silva Santos,Male,Miguel Santos,Portugal,1nbm5i9a0403zzvltn17lxinc,Goalkeeper,player,1994-10-21,Portugal,1nbm5i9a0403zzvltn17lxinc,13.0,2025-02-07Z,active,yes,193.0,right,NaN,NaN,NaN,Paço de Arcos,Miguel Santos,85.0
6b46weet3zcga43hnhxg0cxsk,Emmanuel Vensangamie,Mendy,Emmanuel,Mendy,Male,E. Mendy,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Midfielder,player,2005-03-11,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,18.0,2025-07-24Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6iaszy97sphbfkhfxdwd93g15,Michael Olusoji,Ogungbaro,Michael,Ogungbaro,Male,M. Ogungbaro,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,1996-07-10,Nigeria,63pvdwrsiq5b07mzi8igqei9p,4.0,2024-04-03Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6x2qshkw8kxk3h1lwpukjdvys,Anton,Finell,Anton,Finell,Male,A. Finell,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2007-12-29,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7e8irrii6ddjjaex00kq8cand,Adam Alexander,Vidjeskog,Adam,Vidjeskog,Male,A. Vidjeskog,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1998-07-07,Finland,2u07e54v5dprsugdvddpq5ync,16.0,2024-01-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7x14tbg2brvxi5g9jdbovp8gk,Albin,Björkskog,Albin,Björkskog,Male,A. Björkskog,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2004-11-16,Finland,2u07e54v5dprsugdvddpq5ync,11.0,2021-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80115v2kkgjym3ubywmkz654a,Manasse,Kusu,Manasse,Kusu,Male,M. Kusu,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2001-12-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,42.0,2025-03-29Z,active,yes,178.0,right,2025-12-31Z,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,70.0
87uw802kih4rous5vuc9cfqxg,Felix,Kass,Felix,Kass,Male,F. Kass,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2007-03-13,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-01-01Z,active,yes,185.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
913e8yevkhhhegjun1elcc161,Alex,Ramsay,Alex,Ramsay,Male,A. Ramsay,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1999-09-28,Finland,2u07e54v5dprsugdvddpq5ync,8.0,2020-01-16Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9e1x7yirhaleamtt83kpei710,Rasmus,Vikström,Rasmus,Vikström,Male,R. Vikström,Finland,2u07e54v5dprsugdvddpq5ync,NaN,assistant coach,1978-06-07,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-06-01Z,active,yes,NaN,both,NaN,NaN,NaN,NaN,NaN,NaN
a3elaln9izarzlwqkwc4ynpey,Kerfala,Cissoko,Kerfala,Cissoko,Male,K. Cissoko,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,1999-08-16,Guinea,4i9sg55wigitrfx7290f59ceo,95.0,2025-03-04Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a4kgoyzoedberugc14zrtv55h,Emil,Öhberg,Emil,Öhberg,Male,E. Öhberg,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,1993-06-20,Finland,2u07e54v5dprsugdvddpq5ync,17.0,2022-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ans3c9ugquwrnnt4d6ncyjc44,Ted,Söderström,Ted,Söderström,Male,T. Söderström,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2009-07-02,Finland,2u07e54v5dprsugdvddpq5ync,23.0,2025-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cbceals9gkfqlywg94zzzlgb9,Filip,Valenčič,Filip,Valencic,Male,F. Valenčič,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Attacker,player,1992-01-07,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,9.0,2025-02-17Z,active,yes,183.0,left,NaN,NaN,NaN,Ljubljana,NaN,NaN
crqntc3sy05jsblgk90gymhn9,Joni,Remesaho,Joni,Remesaho,Male,J. Remesaho,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1993-07-15,Finland,2u07e54v5dprsugdvddpq5ync,24.0,2019-01-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d34pugygez0vtpx1t8p5bnq0a,Sami,Sipola,Sami,Sipola,Male,S. Sipola,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-12-25,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-08-03Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d7od1kij5jchngdcwlvls0max,Severi,Kähkönen,Severi,Kähkönen,Male,S. Kähkönen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2000-03-10,Finland,2u07e54v5dprsugdvddpq5ync,66.0,2023-08-12Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcv2hunon4wgijgt4kljtqxg5,Johan,Brunell,Johan,Brunell,Male,J. Brunell,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1991-05-29,Finland,2u07e54v5dprsugdvddpq5ync,6.0,2018-01-25Z,active,yes,191.0,NaN,NaN,NaN,NaN,NaN,NaN,81.0
dtdqh03syykiv1cjstn2lhkvd,Jim,Myrevik,Jim,Myrevik,Male,J. Myrevik,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1996-01-20,Finland,2u07e54v5dprsugdvddpq5ync,21.0,2018-01-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
e4q7r165sj9ig5kep8559x5as,Elliot,Holmäng,Elliot,Holmäng,Male,E. Holmäng,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2007-03-14,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2023-06-02Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
enlu96e156ahwhmdk0482kzfu,Samouil,Izountouemoi,Samouil,Izountouemoi,Male,S. Izountouemoi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1999-01-30,Sweden,1z6l2c33w2kyz9rdefs1d68nb,7.0,2025-02-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eqyduvucdtgotv6p284g7mal0,Emmanuel,Ekpenyong,Emmanuel,Ekpenyong,Male,E. Ekpenyong,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2004-08-12,Nigeria,63pvdwrsiq5b07mzi8igqei9p,77.0,2025-02-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ewhh39na34kvumaw7zfbh228l,Guillermo,Sotelo,Guillermo,Sotelo,Male,G. Sotelo,Argentina,2vovxa97k7v7ofa85dah2xktb,Defender,player,1991-03-30,Argentina,2vovxa97k7v7ofa85dah2xktb,2.0,2023-02-27Z,active,yes,180.0,NaN,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,Reconquista,NaN,64.0
npha09mhy3755go8t6lg3ey2,Aron,Bjonbäck,Aron,Bjonbäck,Male,A. Bjonbäck,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-04-18,Finland,2u07e54v5dprsugdvddpq5ync,5.0,2020-01-16Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14qiwbaa44dy3quxn0by90wlw,Aaro,Soiniemi,Aaro,Soiniemi,Male,A. Soiniemi,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2005-08-08,Finland,2u07e54v5dprsugdvddpq5ync,18.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18p445rm69t2xc13vggv5oueh,Ville Matti Verneri,Tikkanen,Ville,Tikkanen,Male,V. Tikkanen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1999-08-08,Finland,2u07e54v5dprsugdvddpq5ync,6.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197bjrdxo8qscw0b22je0s9as,Aaro,Toivonen,Aaro,Toivonen,Male,A. Toivonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-04-19,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-01-01Z,active,no,NaN,NaN,2025-07-07Z,NaN,NaN,NaN,NaN,NaN
19xsgxk4g4gf1ickmbc92uzu,Miska,Ylitolva,Miska,Ylitolva,Male,M. Ylitolva,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-05-23,Finland,2u07e54v5dprsugdvddpq5ync,28.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2e3yktcpxvr1dxy2z1z1dolxw,Michael,Boamah,Michael,Boamah,Male,M. Boamah,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-04-16,Ghana,2q2sw72utw5gu9t5y4knckwba,24.0,2024-05-16Z,active,no,NaN,NaN,2025-08-24Z,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN
4aoegh7yokqb5ix45ruvqjalm,Jere,Kallinen,Jere,Kallinen,Male,J. Kallinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2002-01-10,Finland,2u07e54v5dprsugdvddpq5ync,15.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4cooeu9zahategmvpj3zdr6xh,Santeri,Hostikka,Santeri,Hostikka,Male,S. Hostikka,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1997-09-30,Finland,2u07e54v5dprsugdvddpq5ync,7.0,2023-02-18Z,active,yes,183.0,NaN,NaN,NaN,NaN,Järvenpää,NaN,NaN
4lbsym9thp3wvi9fnrfch3ip6,Elmo Veikko Oskari,Henriksson,Elmo,Henriksson,Male,E. Henriksson,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2003-03-10,Finland,2u07e54v5dprsugdvddpq5ync,16.0,2025-07-01Z,active,yes,201.0,both,NaN,NaN,NaN,Kirkkonummi,NaN,NaN
4q9qes9db1l7plfu2re8q3v8,Ville,Vuorinen,Ville,Vuorinen,Male,V. Vuorinen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2005-02-21,Finland,2u07e54v5dprsugdvddpq5ync,91.0,2023-02-01Z,active,yes,185.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51lnojqtzobaf5s56bvtaqzv8,Arop,Chan Ring,Arop,Ring,Male,A. Ring,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2006-01-18,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-01-10Z,active,yes,190.0,left,NaN,NaN,NaN,NaN,NaN,NaN
59ktumjupjwefkwh3sciw4qac,Toivo,Mero,Toivo,Mero,Male,T. Mero,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2007-10-07,Finland,2u07e54v5dprsugdvddpq5ync,97.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5frjqqf0jvbqw8ag00pktw8yy,Vicente Andrés Felipe Federico,Besuijen,Vicente,Besuijen,Male,V. Besuijen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2001-04-10,Colombia,6kby8rq1p01fg5ds38ckkrcs5,17.0,2025-07-23Z,active,yes,169.0,right,2025-12-31Z,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Bogotà,NaN,65.0
5j2hy92q8f17nppznxrp8kxxx,Alexander Michael,Ring,Alexander,Ring,Male,A. Ring,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1991-04-09,Finland,2u07e54v5dprsugdvddpq5ync,4.0,2025-02-05Z,active,yes,178.0,right,NaN,NaN,NaN,Helsinki,NaN,73.0
5l991oj3vxvz34ntdzcw06pec,Otto,Hannula,Otto,Hannula,Male,O. Hannula,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-09-29,Finland,2u07e54v5dprsugdvddpq5ync,49.0,2022-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5qgan4g8ci25xi4v0v5cp0f84,Roni,Hudd,Roni,Hudd,Male,R. Hudd,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2005-01-20,Finland,2u07e54v5dprsugdvddpq5ync,11.0,2024-08-26Z,active,no,174.0,NaN,2025-07-09Z,NaN,NaN,Vaasa,NaN,NaN
62ujg8o7iau73uuvsqbo24bf9,Aleksi,Lalli,Aleksi,Lalli,Male,A. Lalli,Finland,2u07e54v5dprsugdvddpq5ync,NaN,assistant coach,1994-09-06,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-02-26Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
